 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
84,John Wall,walljo01,PG,28,WAS,7,237,18.9,0.523,0.271,0.415,2.6,7.5,5,36.3,3.1,3,16.2,29.3,0,0.1,0.2,0.031,1.3,0.1,1.4,0.2,4.42
85,Serge Ibaka,ibakase01,PF,29,TOR,8,225,18.9,0.577,0.184,0.272,10.7,17.2,14.2,5.2,1,4.3,13.5,24.8,0.3,0.3,0.6,0.127,-0.6,0.6,0,0.1,7
86,Clint Capela,capelca01,C,24,HOU,6,196,18.8,0.579,0,0.232,12.5,25.6,18.2,8.7,0.7,4.4,15.5,19.1,0.2,0.1,0.3,0.076,-2.2,1.7,-0.5,0.1,3.85
87,Tobias Harris,harrito02,PF,26,LAC,7,239,18.6,0.591,0.303,0.303,5.2,19.6,13,8,0.4,1.6,10.2,24.2,0.4,0.3,0.7,0.142,2.1,-1,1,0.2,9.3
88,Kevon Looney,looneke01,C,22,GSW,8,130,18.6,0.701,0,0.313,14.9,14.9,14.9,10.4,0.7,3.6,16.1,14.1,0.4,0.1,0.6,0.21,3.4,0.6,4,0.2,9.2
89,Jordan Clarkson,clarkjo01,SG,26,CLE,7,160,18.6,0.576,0.304,0.13,2.6,11.5,6.7,8.9,1.2,0.5,9.3,27.8,0.3,0,0.2,0.071,1.4,-5.4,-4.1,-0.1,-0.23
90,Paul George,georgpa01,SF,28,OKC,6,209,18.5,0.542,0.447,0.333,1.9,18.3,9.7,17,2.9,1.5,13,30.5,0.1,0.4,0.5,0.11,1.8,1,2.8,0.3,8.84
91,Michael Kidd-Gilchrist,kiddgmi01,SF,25,CHO,8,173,18.4,0.582,0.071,0.375,10.3,18.5,14.3,11.5,0.6,6.1,9.7,17.9,0.4,0.2,0.6,0.169,0.9,2.2,3.1,0.2,8.93
92,Karl-Anthony Towns,townska01,C,23,MIN,7,218,18.4,0.568,0.326,0.316,9.3,24.1,16.5,10.5,0.9,5.8,15.6,23.8,0.3,0.2,0.4,0.093,0,1.2,1.2,0.2,6.36
93,Damian Jones,jonesda03,C,23,GSW,8,135,18.3,0.733,0,0.481,9.8,6.1,7.8,10,2.1,7.6,13.3,11.8,0.4,0.2,0.6,0.21,3.5,3.7,7.2,0.3,11.16
