,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,25,27,214,68,49,24,123,59,29,119,50,19,876,Quincy Acy,65,103,['POWER FORWARD'],acyqu01,29,SACRAMENTO KINGS,27,totals_2016.csv
1,1,21,3,6,5,1,0,2,2,0,2,3,0,15,Jordan Adams,0,2,['SHOOTING GUARD'],adamsjo01,3,MEMPHIS GRIZZLIES,2,totals_2016.csv
2,2,22,62,426,196,0,89,314,80,80,261,114,0,2014,Steven Adams,219,223,['CENTER'],adamsst01,42,OKLAHOMA CITY THUNDER,84,totals_2016.csv
3,3,30,144,799,131,238,10,243,71,57,354,110,91,2371,Arron Afflalo,23,142,['SHOOTING GUARD'],afflaar01,25,NEW YORK KNICKS,82,totals_2016.csv
4,4,27,31,315,62,1,36,194,59,17,150,52,0,861,Alexis Ajinça,75,134,['CENTER'],ajincal01,19,NEW ORLEANS PELICANS,54,totals_2016.csv
5,5,27,50,225,84,0,68,202,60,5,134,60,0,800,Cole Aldrich,86,139,['CENTER'],aldrico01,47,LOS ANGELES CLIPPERS,64,totals_2016.csv
6,6,30,110,1045,302,16,81,456,74,74,536,259,0,2261,LaMarcus Aldridge,176,151,['POWER FORWARD'],aldrila01,38,SAN ANTONIO SPURS,99,totals_2016.csv
7,7,20,0,10,0,0,2,4,8,0,5,0,0,36,Cliff Alexander,2,1,['POWER FORWARD'],alexacl01,1,PORTLAND TRAIL BLAZERS,1,totals_2016.csv
8,8,26,76,370,73,0,42,262,79,28,191,46,0,1599,Lavoy Allen,162,147,['POWER FORWARD'],allenla01,26,INDIANA PACERS,69,totals_2016.csv
9,9,34,70,469,138,42,18,192,64,57,215,90,15,1620,Tony Allen,104,175,['SHOOTING GUARD'],allento01,110,MEMPHIS GRIZZLIES,78,totals_2016.csv
10,10,25,138,719,156,349,53,401,82,82,299,115,126,2341,Al-Farouq Aminu,98,171,['SMALL FORWARD'],aminual01,72,PORTLAND TRAIL BLAZERS,120,totals_2016.csv
11,11,33,12,53,27,0,7,26,29,0,19,14,0,204,Lou Amundson,23,44,['POWER FORWARD'],amundlo01,6,NEW YORK KNICKS,15,totals_2016.csv
12,12,37,3,10,4,5,3,6,7,1,4,3,2,36,Chris Andersen,3,4,['CENTER'],anderch01,1,MIAMI HEAT,2,totals_2016.csv
13,13,37,9,62,32,9,10,56,20,14,34,22,2,366,Chris Andersen,33,25,['CENTER'],anderch01,14,MEMPHIS GRIZZLIES,7,totals_2016.csv
14,14,33,14,59,15,37,1,26,13,0,21,11,12,192,Alan Anderson,1,25,['SHOOTING GUARD'],anderal01,4,WASHINGTON WIZARDS,2,totals_2016.csv
15,15,26,41,178,29,86,14,73,51,15,67,22,23,721,James Anderson,13,54,['SHOOTING GUARD'],anderja01,21,SACRAMENTO KINGS,42,totals_2016.csv
16,16,22,29,175,55,83,25,114,55,9,71,44,22,647,Justin Anderson,18,45,['SMALL FORWARD'],anderju01,19,DALLAS MAVERICKS,24,totals_2016.csv
17,17,22,123,295,83,37,29,219,78,11,138,62,12,1245,Kyle Anderson,25,97,['SMALL FORWARD'],anderky01,60,SAN ANTONIO SPURS,59,totals_2016.csv
18,18,27,73,929,228,358,25,265,66,7,397,199,131,2008,Ryan Anderson,131,109,['POWER FORWARD'],anderry01,38,NEW ORLEANS PELICANS,90,totals_2016.csv
19,19,21,345,1013,409,109,113,499,80,79,513,296,28,2823,Giannis Antetokounmpo,113,258,['POINT GUARD'],antetgi01,94,MILWAUKEE BUCKS,208,totals_2016.csv
