,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,23,4,14,8,5,3,10,7,0,6,5,2,61,Quincy Acy,5,8,['SMALL FORWARD'],acyqu01,4,TORONTO RAPTORS,2,totals_2014.csv
1,1,23,24,127,45,10,23,134,56,0,60,30,2,786,Quincy Acy,67,114,['SMALL FORWARD'],acyqu01,19,SACRAMENTO KINGS,28,totals_2014.csv
2,2,20,43,185,136,0,57,190,81,20,93,79,0,1197,Steven Adams,142,203,['CENTER'],adamsst01,40,OKLAHOMA CITY THUNDER,71,totals_2014.csv
3,3,27,7,40,25,0,15,55,25,0,22,13,0,256,Jeff Adrien,33,35,['POWER FORWARD'],adrieje01,7,CHARLOTTE BOBCATS,8,totals_2014.csv
4,4,27,31,235,94,0,21,149,28,12,121,63,0,705,Jeff Adrien,69,73,['POWER FORWARD'],adrieje01,17,MILWAUKEE BUCKS,31,totals_2014.csv
5,5,28,248,1011,336,300,3,230,73,73,464,274,128,2552,Arron Afflalo,32,136,['SHOOTING GUARD'],afflaar01,35,ORLANDO MAGIC,146,totals_2014.csv
6,6,25,40,249,67,1,46,183,56,30,136,56,0,951,Alexis Ajinça,94,187,['CENTER'],ajincal01,23,NEW ORLEANS PELICANS,63,totals_2014.csv
7,7,25,14,61,30,0,30,92,46,2,33,26,0,330,Cole Aldrich,37,40,['CENTER'],aldrico01,8,NEW YORK KNICKS,18,totals_2014.csv
8,8,28,178,1423,360,15,68,599,69,69,652,296,3,2498,LaMarcus Aldridge,166,147,['POWER FORWARD'],aldrila01,63,PORTLAND TRAIL BLAZERS,123,totals_2014.csv
9,9,24,65,266,40,13,27,171,51,2,117,27,2,960,Lavoy Allen,106,115,['POWER FORWARD'],allenla01,22,PHILADELPHIA 76ERS,40,totals_2014.csv
10,10,24,6,34,10,0,6,21,14,0,17,6,0,112,Lavoy Allen,13,11,['POWER FORWARD'],allenla01,2,INDIANA PACERS,4,totals_2014.csv
11,11,38,143,543,116,309,8,182,73,9,240,105,116,1936,Ray Allen*,23,115,['SHOOTING GUARD'],allenra02,54,MIAMI HEAT,84,totals_2014.csv
12,12,32,94,413,121,47,19,129,55,28,204,76,11,1278,Tony Allen,79,121,['SHOOTING GUARD'],allento01,90,MEMPHIS GRIZZLIES,90,totals_2014.csv
13,13,23,114,494,137,48,38,367,80,65,234,91,13,2045,Al-Farouq Aminu,129,147,['SMALL FORWARD'],aminual01,82,NEW ORLEANS PELICANS,88,totals_2014.csv
14,14,31,6,32,24,0,11,27,18,0,16,6,0,184,Lou Amundson,28,49,['POWER FORWARD'],amundlo01,9,NEW ORLEANS PELICANS,14,totals_2014.csv
15,15,31,0,0,0,0,0,0,1,0,0,0,0,1,Lou Amundson,0,0,['POWER FORWARD'],amundlo01,0,CHICAGO BULLS,0,totals_2014.csv
16,16,35,19,275,169,12,97,250,72,0,177,120,3,1396,Chris Andersen,129,162,['CENTER'],anderch01,32,MIAMI HEAT,53,totals_2014.csv
17,17,31,81,485,118,248,11,135,78,26,194,92,84,1773,Alan Anderson,40,147,['SMALL FORWARD'],anderal01,48,BROOKLYN NETS,62,totals_2014.csv
18,18,24,149,717,106,351,28,241,80,62,309,77,115,2309,James Anderson,59,154,['SHOOTING GUARD'],anderja01,74,PHILADELPHIA 76ERS,106,totals_2014.csv
19,19,25,17,354,62,164,7,76,22,14,155,59,67,795,Ryan Anderson,66,47,['POWER FORWARD'],anderry01,10,NEW ORLEANS PELICANS,20,totals_2014.csv
