,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,25,20,157,13,127,6,43,31,2,56,12,41,588,Álex Abrines,5,53,['SHOOTING GUARD'],abrinal01,17,OKLAHOMA CITY THUNDER,14,totals_2019.csv
1,1,28,8,18,10,15,4,22,10,0,4,7,2,123,Quincy Acy,3,24,['POWER FORWARD'],acyqu01,1,PHOENIX SUNS,4,totals_2019.csv
2,2,22,65,110,9,74,5,49,34,1,38,7,25,428,Jaylen Adams,11,45,['POINT GUARD'],adamsja01,14,ATLANTA HAWKS,28,totals_2019.csv
3,3,25,124,809,292,2,76,369,80,80,481,146,0,2669,Steven Adams,391,204,['CENTER'],adamsst01,117,OKLAHOMA CITY THUNDER,135,totals_2019.csv
4,4,21,184,486,226,15,65,432,82,28,280,166,3,1913,Bam Adebayo,165,203,['CENTER'],adebaba01,71,MIAMI HEAT,121,totals_2019.csv
5,5,21,5,36,4,23,4,16,19,3,11,4,6,194,Deng Adel,3,13,['SMALL FORWARD'],adelde01,1,CLEVELAND CAVALIERS,6,totals_2019.csv
6,6,25,6,10,2,4,0,3,7,0,3,1,0,22,DeVaughn Akoon-Purcell,1,4,['SHOOTING GUARD'],akoonde01,2,DENVER NUGGETS,2,totals_2019.csv
7,7,33,194,1319,412,42,107,493,81,81,684,349,10,2687,LaMarcus Aldridge,251,179,['CENTER'],aldrila01,43,SAN ANTONIO SPURS,144,totals_2019.csv
8,8,21,13,39,12,12,0,15,10,1,13,8,3,120,Rawle Alkins,11,7,['SHOOTING GUARD'],alkinra01,1,CHICAGO BULLS,8,totals_2019.csv
9,9,23,25,178,60,99,6,20,38,2,67,45,32,416,Grayson Allen,3,47,['SHOOTING GUARD'],allengr01,6,UTAH JAZZ,33,totals_2019.csv
10,10,20,110,568,278,45,120,481,80,80,335,197,6,2096,Jarrett Allen,191,184,['CENTER'],allenja01,43,BROOKLYN NETS,103,totals_2019.csv
11,11,26,76,141,54,36,4,43,19,1,65,42,17,416,Kadeem Allen,8,46,['SHOOTING GUARD'],allenka01,16,NEW YORK KNICKS,26,totals_2019.csv
12,12,28,104,593,173,280,33,498,81,81,257,150,96,2292,Al-Farouq Aminu,112,143,['POWER FORWARD'],aminual01,68,PORTLAND TRAIL BLAZERS,72,totals_2019.csv
13,13,25,23,157,35,77,13,60,48,4,64,26,24,463,Justin Anderson,24,48,['SMALL FORWARD'],anderju01,22,ATLANTA HAWKS,23,totals_2019.csv
14,14,25,128,276,64,34,37,203,43,40,150,37,9,1281,Kyle Anderson,48,112,['SMALL FORWARD'],anderky01,54,MEMPHIS GRIZZLIES,58,totals_2019.csv
15,15,30,17,60,14,34,1,31,15,8,19,11,7,278,Ryan Anderson,14,23,['POWER FORWARD'],anderry01,3,PHOENIX SUNS,12,totals_2019.csv
16,16,30,2,9,2,6,0,5,10,0,2,1,2,44,Ryan Anderson,4,2,['POWER FORWARD'],anderry01,1,MIAMI HEAT,2,totals_2019.csv
17,17,20,1,3,0,0,1,2,3,0,0,0,0,6,Ike Anigbogu,1,0,['CENTER'],anigbik01,0,INDIANA PACERS,1,totals_2019.csv
18,18,24,424,1247,686,203,110,739,72,72,721,500,52,2358,Giannis Antetokounmpo,159,232,['POWER FORWARD'],antetgi01,92,MILWAUKEE BUCKS,268,totals_2019.csv
19,19,21,0,3,4,0,0,1,2,0,0,2,0,11,Kostas Antetokounmpo,0,0,['POWER FORWARD'],antetko01,2,DALLAS MAVERICKS,1,totals_2019.csv
20,20,34,5,121,22,64,7,45,10,2,49,15,21,294,Carmelo Anthony,9,32,['POWER FORWARD'],anthoca01,4,HOUSTON ROCKETS,8,totals_2019.csv
21,21,21,47,404,62,202,22,139,67,6,183,36,67,1352,OG Anunoby,58,140,['SMALL FORWARD'],anunoog01,46,TORONTO RAPTORS,55,totals_2019.csv
22,22,24,269,418,102,217,4,192,81,32,187,89,81,1961,Ryan Arcidiacono,27,171,['POINT GUARD'],arcidry01,65,CHICAGO BULLS,63,totals_2019.csv
23,23,33,87,227,43,139,8,129,26,26,86,36,50,884,Trevor Ariza,16,44,['SMALL FORWARD'],arizatr01,38,PHOENIX SUNS,39,totals_2019.csv
24,24,33,165,509,121,295,13,192,43,43,208,94,95,1465,Trevor Ariza,34,86,['SMALL FORWARD'],arizatr01,53,WASHINGTON WIZARDS,67,totals_2019.csv
25,25,31,426,677,209,311,4,162,81,81,318,181,131,2269,D.J. Augustin,41,115,['POINT GUARD'],augusdj01,52,ORLANDO MAGIC,128,totals_2019.csv
26,26,20,125,870,189,4,67,506,71,70,509,141,0,2183,Deandre Ayton,223,209,['CENTER'],aytonde01,61,PHOENIX SUNS,126,totals_2019.csv
27,27,23,47,257,46,87,5,81,43,13,122,34,38,759,Dwayne Bacon,8,72,['SHOOTING GUARD'],bacondw01,12,CHARLOTTE HORNETS,18,totals_2019.csv
28,28,19,62,706,262,96,59,309,62,4,356,181,30,1567,Marvin Bagley,162,120,['POWER FORWARD'],baglema01,33,SACRAMENTO KINGS,98,totals_2019.csv
29,29,25,13,16,6,9,0,6,11,0,4,5,1,107,Ron Baker,1,16,['SHOOTING GUARD'],bakerro01,5,NEW YORK KNICKS,3,totals_2019.csv
30,30,25,2,4,0,4,1,4,4,0,0,0,0,45,Ron Baker,0,2,['SHOOTING GUARD'],bakerro01,1,WASHINGTON WIZARDS,2,totals_2019.csv
31,31,22,12,33,11,9,2,13,16,0,10,8,2,94,Wade Baldwin,2,11,['POINT GUARD'],baldwwa01,1,PORTLAND TRAIL BLAZERS,14,totals_2019.csv
32,32,21,255,456,48,228,19,197,47,45,185,20,75,1423,Lonzo Ball,54,114,['POINT GUARD'],balllo01,69,LOS ANGELES LAKERS,103,totals_2019.csv
33,33,20,39,243,63,70,64,169,47,1,117,37,21,766,Mohamed Bamba,64,102,['CENTER'],bambamo01,13,ORLANDO MAGIC,43,totals_2019.csv
34,34,34,211,385,78,128,1,82,38,0,161,55,38,752,J.J. Barea,13,50,['POINT GUARD'],bareajo01,22,DALLAS MAVERICKS,72,totals_2019.csv
35,35,26,62,717,198,311,11,171,49,49,290,165,121,1584,Harrison Barnes,36,79,['POWER FORWARD'],barneha02,33,DALLAS MAVERICKS,68,totals_2019.csv
36,36,26,53,310,80,130,2,133,28,28,141,64,53,949,Harrison Barnes,21,43,['SMALL FORWARD'],barneha02,17,SACRAMENTO KINGS,30,totals_2019.csv
37,37,28,124,460,74,196,22,167,43,38,185,57,67,1189,Will Barton,32,82,['SHOOTING GUARD'],bartowi01,18,DENVER NUGGETS,65,totals_2019.csv
38,38,23,17,142,28,52,14,67,30,3,60,18,13,503,Keita Bates-Diop,16,29,['SMALL FORWARD'],bateske01,18,MINNESOTA TIMBERWOLVES,14,totals_2019.csv
39,39,30,247,562,89,298,43,319,75,72,253,77,116,2354,Nicolas Batum,71,140,['SMALL FORWARD'],batumni01,71,CHARLOTTE HORNETS,117,totals_2019.csv
40,40,30,119,230,28,98,2,51,34,6,82,16,29,657,Jerryd Bayless,11,56,['POINT GUARD'],bayleje01,18,MINNESOTA TIMBERWOLVES,32,totals_2019.csv
41,41,32,57,223,62,61,34,152,51,18,105,53,21,821,Aron Baynes,88,125,['CENTER'],baynear01,12,BOSTON CELTICS,40,totals_2019.csv
42,42,29,152,691,175,300,42,224,67,35,278,127,96,1643,Kent Bazemore,37,170,['SHOOTING GUARD'],bazemke01,89,ATLANTA HAWKS,121,totals_2019.csv
43,43,25,448,1609,448,596,58,322,82,82,764,362,209,3028,Bradley Beal,89,226,['SHOOTING GUARD'],bealbr01,121,WASHINGTON WIZARDS,224,totals_2019.csv
