,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,23,40,341,49,247,8,68,68,6,134,44,94,1055,Alex Abrines,18,114,['SHOOTING GUARD'],abrinal01,37,OKLAHOMA CITY THUNDER,33,totals_2017.csv
1,1,26,0,17,3,7,0,6,6,0,5,2,1,48,Quincy Acy,2,9,['POWER FORWARD'],acyqu01,0,DALLAS MAVERICKS,2,totals_2017.csv
2,2,26,18,153,57,83,15,89,32,1,65,43,36,510,Quincy Acy,18,58,['POWER FORWARD'],acyqu01,14,BROOKLYN NETS,19,totals_2017.csv
3,3,23,86,655,257,1,78,332,80,80,374,157,0,2389,Steven Adams,281,195,['CENTER'],adamsst01,89,OKLAHOMA CITY THUNDER,146,totals_2017.csv
4,4,31,78,420,93,151,6,116,61,45,185,83,62,1580,Arron Afflalo,9,104,['SHOOTING GUARD'],afflaar01,21,SACRAMENTO KINGS,42,totals_2017.csv
5,5,28,12,178,40,4,22,131,39,15,89,29,0,584,Alexis Ajinca,46,77,['CENTER'],ajincal01,20,NEW ORLEANS PELICANS,31,totals_2017.csv
6,6,28,25,86,22,0,23,107,62,0,45,15,0,531,Cole Aldrich,51,85,['CENTER'],aldrico01,25,MINNESOTA TIMBERWOLVES,17,totals_2017.csv
7,7,31,139,1049,271,56,88,351,72,72,500,220,23,2335,LaMarcus Aldridge,172,158,['POWER FORWARD'],aldrila01,46,SAN ANTONIO SPURS,98,totals_2017.csv
8,8,27,57,168,33,1,24,114,61,5,77,23,0,871,Lavoy Allen,105,78,['POWER FORWARD'],allenla01,18,INDIANA PACERS,29,totals_2017.csv
9,9,35,98,595,130,54,29,225,71,66,274,80,15,1914,Tony Allen,166,178,['SHOOTING GUARD'],allento01,115,MEMPHIS GRIZZLIES,100,totals_2017.csv
10,10,26,99,466,136,212,44,374,61,25,183,96,70,1773,Al-Farouq Aminu,77,102,['POWER FORWARD'],aminual01,60,PORTLAND TRAIL BLAZERS,94,totals_2017.csv
11,11,38,5,22,14,3,7,22,12,0,9,10,0,114,Chris Andersen,9,20,['CENTER'],anderch01,5,CLEVELAND CAVALIERS,5,totals_2017.csv
12,12,34,11,80,16,44,0,21,30,0,30,12,14,308,Alan Anderson,3,35,['SMALL FORWARD'],anderal01,3,LOS ANGELES CLIPPERS,7,totals_2017.csv
13,13,23,32,277,88,122,16,110,51,2,111,70,37,710,Justin Anderson,39,64,['SMALL FORWARD'],anderju01,28,DALLAS MAVERICKS,40,totals_2017.csv
14,14,23,34,162,41,72,7,66,24,8,75,32,21,518,Justin Anderson,30,45,['SMALL FORWARD'],anderju01,13,PHILADELPHIA 76ERS,26,totals_2017.csv
15,15,23,91,209,57,40,26,175,72,14,93,45,15,1020,Kyle Anderson,33,63,['SMALL FORWARD'],anderky01,51,SAN ANTONIO SPURS,39,totals_2017.csv
16,16,28,68,773,150,506,14,218,72,72,323,129,204,2116,Ryan Anderson,112,142,['POWER FORWARD'],anderry01,31,HOUSTON ROCKETS,55,totals_2017.csv
17,17,22,434,1259,612,180,151,558,80,80,656,471,49,2845,Giannis Antetokounmpo,142,246,['SMALL FORWARD'],antetgi01,131,MILWAUKEE BUCKS,234,totals_2017.csv
18,18,32,213,1389,365,421,34,376,74,74,602,304,151,2538,Carmelo Anthony,62,198,['SMALL FORWARD'],anthoca01,60,NEW YORK KNICKS,153,totals_2017.csv
19,19,34,3,16,8,0,6,23,19,0,10,5,0,122,Joel Anthony,8,11,['CENTER'],anthojo01,2,SAN ANTONIO SPURS,4,totals_2017.csv
20,20,31,175,798,126,555,20,404,80,80,326,93,191,2773,Trevor Ariza,54,133,['SMALL FORWARD'],arizatr01,147,HOUSTON ROCKETS,73,totals_2017.csv
21,21,28,42,215,22,117,21,87,41,7,95,19,53,639,Darrell Arthur,25,76,['POWER FORWARD'],arthuda01,19,DENVER NUGGETS,36,totals_2017.csv
22,22,30,15,65,39,0,10,115,31,19,31,23,0,482,Omer Asik,48,51,['CENTER'],asikom01,5,NEW ORLEANS PELICANS,14,totals_2017.csv
23,23,29,209,517,161,274,1,102,78,20,195,131,95,1538,D.J. Augustin,15,101,['POINT GUARD'],augusdj01,31,ORLANDO MAGIC,90,totals_2017.csv
24,24,27,36,281,15,210,11,129,68,55,113,11,87,1065,Luke Babbitt,12,118,['SMALL FORWARD'],babbilu01,20,MIAMI HEAT,25,totals_2017.csv
25,25,23,107,217,43,86,8,86,52,13,82,28,23,857,Ron Baker,12,74,['SHOOTING GUARD'],bakerro01,34,NEW YORK KNICKS,56,totals_2017.csv
26,26,20,61,115,37,22,7,35,33,1,36,31,3,405,Wade Baldwin,11,40,['POINT GUARD'],baldwwa01,18,MEMPHIS GRIZZLIES,39,totals_2017.csv
27,27,34,81,392,45,98,8,89,67,0,172,40,35,963,Leandro Barbosa,15,82,['SHOOTING GUARD'],barbole01,31,PHOENIX SUNS,48,totals_2017.csv
28,28,32,193,343,51,148,1,75,35,6,142,44,53,771,J.J. Barea,9,30,['POINT GUARD'],bareajo01,14,DALLAS MAVERICKS,63,totals_2017.csv
29,29,24,116,1280,281,222,15,301,79,79,599,242,78,2803,Harrison Barnes,93,128,['POWER FORWARD'],barneha02,65,DALLAS MAVERICKS,102,totals_2017.csv
30,30,36,150,383,66,211,17,238,54,13,147,50,69,1367,Matt Barnes,55,138,['SMALL FORWARD'],barnema02,36,SACRAMENTO KINGS,83,totals_2017.csv
31,31,36,45,90,23,52,9,76,20,5,38,20,18,410,Matt Barnes,15,47,['SMALL FORWARD'],barnema02,12,GOLDEN STATE WARRIORS,24,totals_2017.csv
32,32,26,206,666,190,235,28,201,60,19,295,143,87,1705,Will Barton,58,110,['SHOOTING GUARD'],bartowi01,48,DENVER NUGGETS,97,totals_2017.csv
33,33,31,21,186,88,3,11,86,52,0,107,77,1,577,Brandon Bass,43,45,['POWER FORWARD'],bassbr01,14,LOS ANGELES CLIPPERS,29,totals_2017.csv
34,34,28,456,975,284,405,29,435,77,77,393,243,135,2617,Nicolas Batum,46,109,['SHOOTING GUARD'],batumni01,86,CHARLOTTE HORNETS,194,totals_2017.csv
35,35,28,13,32,10,5,0,9,3,1,11,9,2,71,Jerryd Bayless,3,4,['POINT GUARD'],bayleje01,0,PHILADELPHIA 76ERS,9,totals_2017.csv
36,36,30,32,279,94,0,39,222,75,2,143,79,0,1163,Aron Baynes,111,166,['CENTER'],baynear01,17,DETROIT PISTONS,50,totals_2017.csv
37,37,27,177,721,168,266,52,186,73,64,295,119,92,1963,Kent Bazemore,45,165,['SMALL FORWARD'],bazemke01,91,ATLANTA HAWKS,125,totals_2017.csv
38,38,23,267,1322,342,552,21,187,77,77,637,282,223,2684,Bradley Beal,53,169,['SHOOTING GUARD'],bealbr01,83,WASHINGTON WIZARDS,156,totals_2017.csv
39,39,20,11,73,10,28,0,12,22,1,33,8,9,165,Malik Beasley,5,10,['SHOOTING GUARD'],beaslma01,7,DENVER NUGGETS,8,totals_2017.csv
40,40,28,53,406,105,43,27,153,56,6,216,78,18,935,Michael Beasley,40,92,['POWER FORWARD'],beaslmi01,27,MILWAUKEE BUCKS,66,totals_2017.csv
41,41,30,147,615,168,283,9,164,74,0,264,150,102,1778,Marco Belinelli,14,90,['SHOOTING GUARD'],belinma01,44,CHARLOTTE HORNETS,70,totals_2017.csv
42,42,22,28,98,16,18,5,45,38,1,47,6,1,371,DeAndre' Bembry,14,21,['SMALL FORWARD'],bembrde01,8,ATLANTA HAWKS,16,totals_2017.csv
43,43,19,23,161,11,101,22,80,43,0,57,4,28,574,Dragan Bender,23,74,['POWER FORWARD'],bendedr01,10,PHOENIX SUNS,32,totals_2017.csv
44,44,23,12,92,36,48,3,53,23,1,38,26,13,264,Anthony Bennett,25,18,['POWER FORWARD'],bennean01,5,BROOKLYN NETS,12,totals_2017.csv
45,45,21,0,3,0,1,0,2,3,0,0,0,0,10,Ben Bentil,0,1,['POWER FORWARD'],bentibe01,0,DALLAS MAVERICKS,1,totals_2017.csv
46,46,24,46,234,34,173,28,76,67,6,103,28,69,808,Davis Bertans,22,75,['POWER FORWARD'],bertada01,20,SAN ANTONIO SPURS,32,totals_2017.csv
