,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,31,4,14,4,0,0,4,6,0,3,4,0,51,Shareef Abdur-Rahim,6,9,['POWER FORWARD'],abdursh01,1,SACRAMENTO KINGS,1,totals_2008.csv
1,1,22,52,241,87,48,8,101,75,9,99,68,10,970,Arron Afflalo,36,83,['SHOOTING GUARD'],afflaar01,31,DETROIT PISTONS,34,totals_2008.csv
2,2,23,4,27,6,8,1,3,12,3,5,5,0,77,Maurice Ager,1,11,['SHOOTING GUARD'],agerma01,0,DALLAS MAVERICKS,3,totals_2008.csv
3,3,23,4,38,6,11,0,6,14,0,16,1,3,88,Maurice Ager,3,6,['SHOOTING GUARD'],agerma01,0,NEW JERSEY NETS,3,totals_2008.csv
4,4,23,19,57,31,34,0,18,12,0,15,30,10,177,Blake Ahearn,1,20,['POINT GUARD'],ahearbl01,6,MIAMI HEAT,16,totals_2008.csv
5,5,22,122,1160,298,7,94,358,76,76,561,227,1,2649,LaMarcus Aldridge,220,240,['POWER FORWARD'],aldrila01,55,PORTLAND TRAIL BLAZERS,126,totals_2008.csv
6,6,29,29,261,13,2,21,86,48,12,124,12,1,763,Malik Allen,42,89,['POWER FORWARD'],allenma01,15,NEW JERSEY NETS,32,totals_2008.csv
7,7,29,15,66,12,0,10,44,25,4,33,11,0,333,Malik Allen,24,60,['POWER FORWARD'],allenma01,4,DALLAS MAVERICKS,13,totals_2008.csv
8,8,32,225,986,237,452,16,193,73,73,439,215,180,2624,Ray Allen*,75,147,['SHOOTING GUARD'],allenra02,65,BOSTON CELTICS,127,totals_2008.csv
9,9,26,114,389,181,57,21,134,75,11,169,138,18,1373,Tony Allen,34,168,['SHOOTING GUARD'],allento01,62,BOSTON CELTICS,109,totals_2008.csv
10,10,26,0,4,2,0,0,1,3,0,1,1,0,10,Lance Allred,0,1,['CENTER'],allrela01,0,CLEVELAND CAVALIERS,0,totals_2008.csv
11,11,22,3,15,6,4,0,2,9,0,4,4,1,39,Morris Almond,0,5,['SHOOTING GUARD'],almonmo01,1,UTAH JAZZ,2,totals_2008.csv
12,12,31,392,924,137,407,18,232,74,74,364,98,143,2526,Rafer Alston,28,139,['POINT GUARD'],alstora01,98,HOUSTON ROCKETS,160,totals_2008.csv
13,13,25,0,16,7,0,1,5,16,0,8,2,0,64,Lou Amundson,7,13,['POWER FORWARD'],amundlo01,1,PHILADELPHIA 76ERS,2,totals_2008.csv
14,14,29,0,7,4,0,4,7,5,0,2,2,0,34,Chris Andersen,2,6,['CENTER'],anderch01,0,NEW ORLEANS HORNETS,1,totals_2008.csv
15,15,33,44,125,38,52,1,43,28,0,47,28,19,396,Derek Anderson,9,49,['SHOOTING GUARD'],anderde01,12,CHARLOTTE BOBCATS,25,totals_2008.csv
16,16,23,259,1481,590,164,39,393,77,77,728,464,58,2806,Carmelo Anthony,178,253,['SMALL FORWARD'],anthoca01,98,DENVER NUGGETS,253,totals_2008.csv
17,17,25,3,60,49,0,31,55,24,1,28,29,0,498,Joel Anthony,38,55,['POWER FORWARD'],anthojo01,9,MIAMI HEAT,17,totals_2008.csv
18,18,26,66,196,96,78,1,45,13,8,78,74,22,425,Gilbert Arenas,6,30,['POINT GUARD'],arenagi01,23,WASHINGTON WIZARDS,49,totals_2008.csv
19,19,22,8,31,15,3,3,19,11,0,14,8,0,115,Trevor Ariza,5,9,['SMALL FORWARD'],arizatr01,5,ORLANDO MAGIC,5,totals_2008.csv
20,20,22,36,105,60,15,8,59,24,3,55,41,5,431,Trevor Ariza,25,36,['SMALL FORWARD'],arizatr01,26,LOS ANGELES LAKERS,18,totals_2008.csv
21,21,39,73,110,30,69,2,50,50,2,40,20,23,549,Darrell Armstrong,17,53,['POINT GUARD'],armstda01,28,NEW JERSEY NETS,41,totals_2008.csv
22,22,23,23,148,70,0,34,98,65,3,67,44,0,732,Hilton Armstrong,65,130,['CENTER'],armsthi01,15,NEW ORLEANS HORNETS,59,totals_2008.csv
23,23,28,219,348,102,84,2,103,62,20,157,87,29,1269,Carlos Arroyo,10,85,['POINT GUARD'],arroyca01,26,ORLANDO MAGIC,77,totals_2008.csv
24,24,33,47,122,9,79,1,28,24,0,42,4,25,352,Chucky Atkins,3,27,['SHOOTING GUARD'],atkinch01,9,DENVER NUGGETS,10,totals_2008.csv
25,25,23,2,34,8,0,2,14,25,0,18,4,0,149,James Augustine,16,18,['POWER FORWARD'],augusja01,5,ORLANDO MAGIC,6,totals_2008.csv
26,26,24,75,587,138,195,34,217,81,17,261,99,71,1732,Kelenna Azubuike,107,159,['SHOOTING GUARD'],azubuke01,45,GOLDEN STATE WARRIORS,58,totals_2008.csv
27,27,23,40,186,95,12,30,133,65,0,91,41,1,952,Renaldo Balkman,83,132,['SMALL FORWARD'],balkmre01,44,NEW YORK KNICKS,37,totals_2008.csv
28,28,26,25,109,16,65,8,17,24,1,44,12,25,310,Marcus Banks,3,38,['POINT GUARD'],banksma01,8,PHOENIX SUNS,16,totals_2008.csv
29,29,26,36,82,19,37,5,24,12,2,42,15,15,259,Marcus Banks,1,27,['POINT GUARD'],banksma01,6,MIAMI HEAT,21,totals_2008.csv
30,30,25,216,1021,213,422,18,191,82,12,472,175,164,2421,Leandro Barbosa,40,195,['SHOOTING GUARD'],barbole01,75,PHOENIX SUNS,117,totals_2008.csv
31,31,23,58,170,35,54,1,43,44,9,71,28,21,460,J.J. Barea,4,48,['POINT GUARD'],bareajo01,14,DALLAS MAVERICKS,35,totals_2008.csv
32,32,22,89,725,169,261,37,238,78,53,280,142,90,1861,Andrea Bargnani,50,211,['POWER FORWARD'],bargnan01,23,TORONTO RAPTORS,88,totals_2008.csv
33,33,27,139,442,79,181,36,230,73,18,187,59,53,1414,Matt Barnes,94,159,['POWER FORWARD'],barnema02,48,GOLDEN STATE WARRIORS,85,totals_2008.csv
34,34,25,7,5,2,3,0,1,4,0,2,1,1,25,Andre Barrett,0,1,['POINT GUARD'],barrean01,0,LOS ANGELES CLIPPERS,1,totals_2008.csv
