,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,23,5.5,0.6000000000000001,-2.5,-2.2,7.1,0.9,0.14400000000000002,68,1055,Alex Abrines,-0.30000000000000004,1.9,1.2,10.1,['SHOOTING GUARD'],abrinal01,1.7000000000000002,OKLAHOMA CITY THUNDER,0.7240000000000001,4.5,0.56,8.3,15.9,-0.1,2.1,0.096,advanced_2017.csv
1,1,26,0.0,0.0,-16.2,-6.0,15.2,0.0,0.17600000000000002,6,48,Quincy Acy,-10.1,4.6,-0.2,-1.4,['POWER FORWARD'],acyqu01,0.0,DALLAS MAVERICKS,0.412,9.7,0.355,9.8,20.0,-0.2,-0.1,-0.133,advanced_2017.csv
2,2,26,5.4,2.2,-1.8,-0.7000000000000001,18.2,0.5,0.373,32,510,Quincy Acy,-1.1,3.8,0.6000000000000001,13.1,['POWER FORWARD'],acyqu01,1.3,BROOKLYN NETS,0.542,11.1,0.5870000000000001,9.6,16.5,0.0,1.1,0.102,advanced_2017.csv
3,3,23,5.4,2.6,0.6000000000000001,1.2,15.4,3.1,0.392,80,2389,Steven Adams,-0.7000000000000001,13.0,3.3,16.5,['CENTER'],adamsst01,1.8,OKLAHOMA CITY THUNDER,0.002,14.2,0.589,16.0,16.2,1.5,6.5,0.13,advanced_2017.csv
4,4,31,7.4,0.30000000000000004,-3.5,-2.1,8.4,0.2,0.221,61,1580,Arron Afflalo,-1.4,0.7000000000000001,1.2,8.9,['SHOOTING GUARD'],afflaar01,0.7000000000000001,SACRAMENTO KINGS,0.36,4.6,0.5589999999999999,8.4,14.4,-0.6000000000000001,1.4,0.043,advanced_2017.csv
5,5,28,3.1,3.1,-4.1,1.0,23.8,0.9,0.225,39,584,Alexis Ajinca,-5.1,8.3,0.0,12.9,['CENTER'],ajincal01,1.7000000000000002,NEW ORLEANS PELICANS,0.022000000000000002,16.0,0.529,13.7,17.2,-0.30000000000000004,1.0,0.08,advanced_2017.csv
6,6,28,6.4,3.7,0.6000000000000001,2.6,23.9,0.7000000000000001,0.256,62,531,Cole Aldrich,-2.0,11.0,0.6000000000000001,12.7,['CENTER'],aldrico01,2.4,MINNESOTA TIMBERWOLVES,0.0,17.4,0.5489999999999999,15.1,9.4,0.4,1.3,0.11599999999999999,advanced_2017.csv
7,7,31,9.9,3.0,1.0,1.3,16.6,3.7,0.258,72,2335,LaMarcus Aldridge,-0.30000000000000004,8.5,3.5,18.6,['POWER FORWARD'],aldrila01,1.0,SAN ANTONIO SPURS,0.053,12.7,0.532,7.7,24.5,1.8,7.2,0.149,advanced_2017.csv
8,8,27,9.1,2.4,-0.30000000000000004,1.3,14.5,0.8,0.196,61,871,Lavoy Allen,-1.5,13.7,0.9,11.6,['POWER FORWARD'],allenla01,1.0,INDIANA PACERS,0.006,14.1,0.485,13.7,10.9,0.4,1.7000000000000002,0.09300000000000001,advanced_2017.csv
9,9,35,8.4,1.4,0.6000000000000001,2.4,13.8,2.9,0.218,71,1914,Tony Allen,-1.8,9.6,0.2,13.3,['SHOOTING GUARD'],allento01,3.1,MEMPHIS GRIZZLIES,0.091,11.7,0.493,13.3,17.9,1.3,3.1,0.077,advanced_2017.csv
10,10,26,7.9,2.0,-1.1,1.2,23.5,2.0,0.292,61,1773,Al-Farouq Aminu,-2.3,4.8,-0.1,11.3,['POWER FORWARD'],aminual01,1.7000000000000002,PORTLAND TRAIL BLAZERS,0.455,14.1,0.506,15.2,15.4,0.4,1.9,0.051,advanced_2017.csv
11,11,38,5.9,5.0,-0.9,3.0,20.6,0.2,0.636,12,114,Chris Andersen,-3.8,9.0,0.1,11.6,['CENTER'],anderch01,2.2,CLEVELAND CAVALIERS,0.136,15.0,0.49700000000000005,15.1,13.0,0.0,0.2,0.102,advanced_2017.csv
12,12,34,4.9,0.0,-4.9,-2.3,7.4,0.1,0.2,30,308,Alan Anderson,-2.6,1.1,0.0,5.0,['SMALL FORWARD'],anderal01,0.5,LOS ANGELES CLIPPERS,0.55,4.4,0.494,7.4,13.7,-0.2,0.1,0.02,advanced_2017.csv
13,13,23,7.6,2.0,-2.0,-0.1,18.9,0.9,0.318,51,710,Justin Anderson,-1.8,6.1,0.1,14.7,['SMALL FORWARD'],anderju01,2.1,DALLAS MAVERICKS,0.44,12.2,0.521,11.2,23.6,0.0,1.0,0.067,advanced_2017.csv
14,14,23,10.4,1.1,-1.0,-0.6000000000000001,14.1,0.4,0.253,24,518,Justin Anderson,-0.4,6.4,0.5,12.8,['SMALL FORWARD'],anderju01,1.2,PHILADELPHIA 76ERS,0.444,10.2,0.5640000000000001,12.6,17.2,0.1,0.9,0.084,advanced_2017.csv
