,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,27,22,145,32,2,9,39,20,12,55,24,1,417,Tariq Abdul-Wahad,39,51,['SHOOTING GUARD'],abdulta01,18,DENVER NUGGETS,24,totals_2002.csv
1,1,27,2,2,1,0,1,4,4,0,0,0,0,24,Tariq Abdul-Wahad,2,5,['SHOOTING GUARD'],abdulta01,2,DALLAS MAVERICKS,3,totals_2002.csv
2,2,25,239,1297,523,70,81,498,77,77,598,419,21,2980,Shareef Abdur-Rahim,198,214,['POWER FORWARD'],abdursh01,98,ATLANTA HAWKS,250,totals_2002.csv
3,3,24,86,474,121,18,7,105,56,28,223,98,5,1325,Courtney Alexander,43,113,['SHOOTING GUARD'],alexaco02,35,WASHINGTON WIZARDS,60,totals_2002.csv
4,4,32,6,51,8,2,1,22,15,0,18,4,0,97,Victor Alexander,7,6,['CENTER'],alexavi01,0,DETROIT PISTONS,5,totals_2002.csv
5,5,23,5,51,10,1,8,23,12,2,22,8,0,161,Malik Allen,15,16,['POWER FORWARD'],allenma01,3,MIAMI HEAT,2,totals_2002.csv
6,6,26,271,1148,245,528,18,231,69,67,530,214,229,2525,Ray Allen*,81,157,['SHOOTING GUARD'],allenra02,88,MILWAUKEE BUCKS,159,totals_2002.csv
7,7,25,143,191,29,71,2,62,50,7,66,18,27,600,Rafer Alston,10,42,['POINT GUARD'],alstora01,32,MILWAUKEE BUCKS,40,totals_2002.csv
8,8,31,29,166,105,0,10,57,54,0,54,67,0,586,John Amaechi,52,64,['POWER FORWARD'],amaecjo01,7,UTAH JAZZ,55,totals_2002.csv
9,9,23,7,74,28,4,28,38,24,1,25,22,0,262,Chris Andersen,38,35,['CENTER'],anderch01,7,DENVER NUGGETS,13,totals_2002.csv
10,10,27,216,612,208,228,8,142,70,27,247,178,85,1860,Derek Anderson,47,113,['SHOOTING GUARD'],anderde01,68,PORTLAND TRAIL BLAZERS,87,totals_2002.csv
11,11,31,403,716,132,33,10,218,76,76,312,98,9,2430,Kenny Anderson,57,210,['POINT GUARD'],anderke01,141,BOSTON CELTICS,119,totals_2002.csv
12,12,34,14,76,9,48,6,32,15,0,21,5,13,219,Nick Anderson,1,17,['SHOOTING GUARD'],anderni01,6,MEMPHIS GRIZZLIES,14,totals_2002.csv
13,13,28,76,373,107,141,15,192,82,6,149,74,39,1596,Shandon Anderson,57,134,['SHOOTING GUARD'],andersh01,48,NEW YORK KNICKS,97,totals_2002.csv
14,14,34,203,287,70,90,4,72,36,35,113,47,29,961,Greg Anthony,16,72,['POINT GUARD'],anthogr01,49,CHICAGO BULLS,58,totals_2002.csv
15,15,34,79,188,21,73,1,38,24,3,70,13,19,553,Greg Anthony,6,42,['POINT GUARD'],anthogr01,28,MILWAUKEE BUCKS,36,totals_2002.csv
16,16,20,174,384,160,113,11,91,47,30,174,124,39,1155,Gilbert Arenas,41,115,['POINT GUARD'],arenagi01,69,GOLDEN STATE WARRIORS,97,totals_2002.csv
17,17,21,8,85,10,17,1,6,35,0,27,5,5,196,Brandon Armstrong,10,26,['SHOOTING GUARD'],armstbr01,7,NEW JERSEY NETS,8,totals_2002.csv
18,18,33,453,828,205,398,10,236,82,79,347,182,139,2730,Darrell Armstrong,83,166,['POINT GUARD'],armstda01,157,ORLANDO MAGIC,175,totals_2002.csv
19,19,22,21,29,6,0,0,9,17,0,13,4,0,96,Carlos Arroyo,3,12,['POINT GUARD'],arroyca01,6,TORONTO RAPTORS,12,totals_2002.csv
20,20,22,49,82,12,2,1,19,20,1,36,9,0,275,Carlos Arroyo,9,18,['POINT GUARD'],arroyca01,5,DENVER NUGGETS,11,totals_2002.csv
21,21,27,263,790,120,336,11,127,79,62,368,83,138,2285,Chucky Atkins,31,177,['POINT GUARD'],atkinch01,72,DETROIT PISTONS,128,totals_2002.csv
22,22,33,103,328,101,3,12,166,77,3,140,77,0,1319,Stacey Augmon,59,115,['SHOOTING GUARD'],augmost01,56,CHARLOTTE HORNETS,54,totals_2002.csv
23,23,32,13,92,4,3,5,60,21,8,36,4,0,307,Isaac Austin,11,36,['CENTER'],austiis01,9,MEMPHIS GRIZZLIES,11,totals_2002.csv
24,24,22,36,90,19,35,0,20,28,0,26,13,6,258,William Avery,4,17,['POINT GUARD'],averywi01,7,MINNESOTA TIMBERWOLVES,19,totals_2002.csv
25,25,21,23,178,70,1,24,107,50,0,72,41,0,638,Dalibor Bagarić,55,108,['CENTER'],bagarda01,17,CHICAGO BULLS,46,totals_2002.csv
26,26,30,72,649,226,8,36,182,55,41,315,143,1,1710,Vin Baker,168,197,['CENTER'],bakervi01,22,SEATTLE SUPERSONICS,127,totals_2002.csv
27,27,23,34,68,10,7,1,13,19,4,24,9,1,228,Erick Barkley,5,29,['POINT GUARD'],barkler01,17,PORTLAND TRAIL BLAZERS,12,totals_2002.csv
28,28,34,78,192,27,71,2,56,29,20,74,21,24,582,Dana Barros,1,37,['POINT GUARD'],barroda01,14,DETROIT PISTONS,33,totals_2002.csv
29,29,30,426,790,234,387,37,383,81,81,401,198,164,3040,Brent Barry,58,182,['SHOOTING GUARD'],barrybr01,147,SEATTLE SUPERSONICS,165,totals_2002.csv
30,30,32,274,522,116,258,20,192,82,6,255,108,121,1985,Jon Barry,42,134,['SHOOTING GUARD'],barryjo01,94,DETROIT PISTONS,111,totals_2002.csv
31,31,26,22,132,37,12,5,64,27,10,53,29,4,408,Mengke Bateer,32,94,['CENTER'],bateeme01,10,DENVER NUGGETS,32,totals_2002.csv
32,32,25,35,390,130,2,67,297,74,73,211,88,0,1819,Tony Battie,184,219,['CENTER'],battito01,60,BOSTON CELTICS,51,totals_2002.csv
33,33,23,216,961,283,276,81,238,78,78,412,198,103,3097,Shane Battier,180,215,['SMALL FORWARD'],battish01,121,MEMPHIS GRIZZLIES,155,totals_2002.csv
34,34,22,2,11,2,6,0,2,5,0,3,2,0,42,Charlie Bell,2,3,['SHOOTING GUARD'],bellch01,0,PHOENIX SUNS,5,totals_2002.csv
35,35,22,0,0,0,0,0,1,2,0,0,0,0,2,Charlie Bell,0,0,['SHOOTING GUARD'],bellch01,0,DALLAS MAVERICKS,0,totals_2002.csv
36,36,25,71,240,48,44,4,80,74,12,103,36,12,890,Raja Bell,31,109,['SHOOTING GUARD'],bellra01,21,PHILADELPHIA 76ERS,48,totals_2002.csv
37,37,21,62,460,181,125,49,180,78,17,198,140,45,1647,Jonathan Bender,64,147,['SMALL FORWARD'],bendejo01,19,INDIANA PACERS,96,totals_2002.csv
38,38,29,175,264,65,34,6,60,44,3,116,57,13,954,Travis Best,10,101,['POINT GUARD'],besttr01,57,INDIANA PACERS,59,totals_2002.csv
39,39,29,149,254,51,25,1,71,30,18,112,47,8,793,Travis Best,10,72,['POINT GUARD'],besttr01,32,CHICAGO BULLS,40,totals_2002.csv
40,40,23,403,985,193,138,15,185,80,80,446,155,51,2659,Mike Bibby,37,133,['POINT GUARD'],bibbymi01,87,SACRAMENTO KINGS,134,totals_2002.csv
41,41,25,450,823,234,315,17,191,82,54,348,207,124,2355,Chauncey Billups,35,169,['POINT GUARD'],billuch01,66,MINNESOTA TIMBERWOLVES,138,totals_2002.csv
42,42,34,114,146,8,42,4,44,35,0,50,4,15,599,Mookie Blaylock,8,20,['POINT GUARD'],blaylmo01,24,GOLDEN STATE WARRIORS,37,totals_2002.csv
43,43,33,44,251,45,1,26,219,72,21,115,29,0,1426,Corie Blount,149,176,['POWER FORWARD'],blounco01,49,PHILADELPHIA 76ERS,52,totals_2002.csv
44,44,26,10,76,37,0,19,59,44,0,32,30,0,415,Mark Blount,26,59,['CENTER'],blounma01,16,BOSTON CELTICS,23,totals_2002.csv
45,45,25,16,82,24,0,13,34,15,15,35,23,0,279,Calvin Booth,20,47,['CENTER'],boothca01,6,SEATTLE SUPERSONICS,16,totals_2002.csv
46,46,23,4,32,25,0,16,34,33,1,13,13,0,245,Ruben Boumtje-Boumtje,21,38,['CENTER'],boumtru01,3,PORTLAND TRAIL BLAZERS,14,totals_2002.csv
47,47,24,11,174,47,5,15,72,52,0,61,39,1,585,Cal Bowdler,38,64,['POWER FORWARD'],bowdlca01,18,ATLANTA HAWKS,11,totals_2002.csv
48,48,30,88,398,96,148,25,120,59,59,155,46,56,1699,Bruce Bowen,42,116,['SMALL FORWARD'],bowenbr01,62,SAN ANTONIO SPURS,66,totals_2002.csv
49,49,26,52,307,92,12,41,165,75,21,147,69,1,1686,Ryan Bowen,134,171,['SMALL FORWARD'],bowenry01,75,DENVER NUGGETS,41,totals_2002.csv
