,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,24,28,291,46,221,8,88,75,8,115,39,84,1134,Álex Abrines,26,124,['SHOOTING GUARD'],abrinal01,38,OKLAHOMA CITY THUNDER,25,totals_2018.csv
1,1,27,57,365,60,292,29,217,70,8,130,49,102,1359,Quincy Acy,40,149,['POWER FORWARD'],acyqu01,33,BROOKLYN NETS,60,totals_2018.csv
2,2,24,88,712,286,2,78,301,76,76,448,160,0,2487,Steven Adams,384,215,['CENTER'],adamsst01,92,OKLAHOMA CITY THUNDER,128,totals_2018.csv
3,3,20,101,340,179,7,41,263,69,19,174,129,0,1368,Bam Adebayo,118,138,['CENTER'],adebaba01,32,MIAMI HEAT,66,totals_2018.csv
4,4,32,30,162,26,70,9,62,53,3,65,22,27,682,Arron Afflalo,4,56,['SHOOTING GUARD'],afflaar01,4,ORLANDO MAGIC,21,totals_2018.csv
5,5,29,3,15,6,0,1,12,21,0,5,2,0,49,Cole Aldrich,3,11,['CENTER'],aldrico01,2,MINNESOTA TIMBERWOLVES,1,totals_2018.csv
6,6,32,152,1347,399,92,90,389,75,75,687,334,27,2509,LaMarcus Aldridge,246,161,['CENTER'],aldrila01,43,SAN ANTONIO SPURS,111,totals_2018.csv
7,7,19,49,397,147,15,88,244,72,31,234,114,5,1441,Jarrett Allen,144,147,['CENTER'],allenja01,28,BROOKLYN NETS,82,totals_2018.csv
8,8,25,12,22,9,11,2,7,18,1,6,7,0,107,Kadeem Allen,4,15,['POINT GUARD'],allenka01,3,BOSTON CELTICS,9,totals_2018.csv
9,9,36,9,91,21,12,3,27,22,0,44,11,4,273,Tony Allen,20,49,['SMALL FORWARD'],allento01,11,NEW ORLEANS PELICANS,19,totals_2018.csv
10,10,27,84,582,80,339,40,428,69,67,230,59,125,2072,Al-Farouq Aminu,97,136,['POWER FORWARD'],aminual01,79,PORTLAND TRAIL BLAZERS,79,totals_2018.csv
11,11,24,25,202,38,103,7,68,38,0,87,28,34,519,Justin Anderson,25,54,['SMALL FORWARD'],anderju01,15,PHILADELPHIA 76ERS,16,totals_2018.csv
12,12,24,202,438,146,57,60,312,74,67,231,104,19,1978,Kyle Anderson,84,114,['SMALL FORWARD'],anderky01,115,SAN ANTONIO SPURS,94,totals_2018.csv
13,13,29,60,480,93,339,21,237,66,50,207,72,131,1725,Ryan Anderson,94,126,['POWER FORWARD'],anderry01,24,HOUSTON ROCKETS,42,totals_2018.csv
14,14,19,0,9,6,0,3,4,11,0,4,5,0,30,Ike Anigbogu,5,1,['CENTER'],anigbik01,1,INDIANA PACERS,2,totals_2018.csv
15,15,23,361,1402,641,140,106,597,75,75,742,487,43,2756,Giannis Antetokounmpo,156,231,['POWER FORWARD'],antetgi01,109,MILWAUKEE BUCKS,223,totals_2018.csv
16,16,33,103,1168,193,474,49,386,78,78,472,148,169,2501,Carmelo Anthony,67,197,['POWER FORWARD'],anthoca01,47,OKLAHOMA CITY THUNDER,99,totals_2018.csv
17,17,20,55,346,62,197,14,140,74,62,163,39,73,1481,OG Anunoby,44,130,['SMALL FORWARD'],anunoog01,52,TORONTO RAPTORS,45,totals_2018.csv
18,18,23,35,41,6,31,0,24,24,0,17,5,9,304,Ryan Arcidiacono,1,18,['POINT GUARD'],arcidry01,13,CHICAGO BULLS,13,totals_2018.csv
19,19,32,105,651,89,462,13,261,67,67,268,76,170,2269,Trevor Ariza,33,132,['SMALL FORWARD'],arizatr01,98,HOUSTON ROCKETS,52,totals_2018.csv
