,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,28,111,670,254,39,26,269,54,49,337,220,15,1867,Shareef Abdur-Rahim,123,150,['POWER FORWARD'],abdursh01,49,PORTLAND TRAIL BLAZERS,117,totals_2005.csv
1,1,31,37,49,12,19,1,21,16,1,16,9,8,201,Cory Alexander,8,29,['SHOOTING GUARD'],alexaco01,9,CHARLOTTE BOBCATS,19,totals_2005.csv
2,2,26,11,76,14,0,11,28,14,0,35,13,0,248,Malik Allen,24,29,['POWER FORWARD'],allenma01,4,MIAMI HEAT,11,totals_2005.csv
3,3,26,7,101,14,0,11,31,22,1,49,13,0,271,Malik Allen,16,24,['POWER FORWARD'],allenma01,5,CHARLOTTE BOBCATS,7,totals_2005.csv
4,4,29,289,1494,428,556,5,268,78,78,640,378,209,3064,Ray Allen*,79,167,['SHOOTING GUARD'],allenra02,84,SEATTLE SUPERSONICS,171,totals_2005.csv
5,5,23,64,387,152,31,24,136,77,34,184,112,12,1262,Tony Allen,85,156,['SHOOTING GUARD'],allento01,76,BOSTON CELTICS,77,totals_2005.csv
6,6,28,514,974,258,389,7,237,80,78,403,191,139,2717,Rafer Alston,42,212,['POINT GUARD'],alstora01,118,TORONTO RAPTORS,170,totals_2005.csv
7,7,26,71,358,190,3,100,273,67,2,191,131,0,1430,Chris Andersen,137,144,['CENTER'],anderch01,14,NEW ORLEANS HORNETS,64,totals_2005.csv
8,8,30,143,391,87,151,4,103,47,32,152,70,58,1239,Derek Anderson,25,89,['SHOOTING GUARD'],anderde01,36,PORTLAND TRAIL BLAZERS,70,totals_2005.csv
9,9,34,98,190,37,13,0,60,39,20,81,27,6,717,Kenny Anderson,23,81,['POINT GUARD'],anderke01,33,ATLANTA HAWKS,46,totals_2005.csv
10,10,34,5,11,0,0,0,4,4,0,4,0,0,26,Kenny Anderson,1,6,['POINT GUARD'],anderke01,0,LOS ANGELES CLIPPERS,3,totals_2005.csv
11,11,31,0,2,0,1,0,0,1,0,0,0,0,20,Shandon Anderson,1,2,['SHOOTING GUARD'],andersh01,0,NEW YORK KNICKS,1,totals_2005.csv
12,12,31,70,215,66,28,14,150,65,5,98,54,5,1151,Shandon Anderson,40,136,['SMALL FORWARD'],andersh01,40,MIAMI HEAT,49,totals_2005.csv
13,13,20,194,1230,573,158,30,285,75,75,530,456,42,2608,Carmelo Anthony,141,229,['SMALL FORWARD'],anthoca01,68,DENVER NUGGETS,224,totals_2005.csv
14,14,24,16,175,55,3,8,126,59,41,76,43,1,736,Rafael Araújo,59,157,['CENTER'],araujra01,21,TORONTO RAPTORS,52,totals_2005.csv
15,15,23,411,1523,640,562,23,295,80,80,656,521,205,3274,Gilbert Arenas,83,245,['POINT GUARD'],arenagi01,139,WASHINGTON WIZARDS,242,totals_2005.csv
16,16,19,85,389,174,13,18,153,80,12,172,121,3,1382,Trevor Ariza,89,150,['SMALL FORWARD'],arizatr01,70,NEW YORK KNICKS,73,totals_2005.csv
17,17,36,65,159,21,70,2,32,14,9,53,19,17,412,Darrell Armstrong,16,30,['POINT GUARD'],armstda01,15,NEW ORLEANS HORNETS,28,totals_2005.csv
18,18,36,113,118,47,41,6,48,52,7,36,39,11,576,Darrell Armstrong,19,62,['POINT GUARD'],armstda01,30,DALLAS MAVERICKS,39,totals_2005.csv
19,19,25,152,232,63,18,3,35,30,16,93,53,7,742,Carlos Arroyo,11,67,['POINT GUARD'],arroyca01,20,UTAH JAZZ,55,totals_2005.csv
20,20,25,128,197,86,12,1,43,40,0,74,66,1,706,Carlos Arroyo,15,76,['POINT GUARD'],arroyca01,24,DETROIT PISTONS,52,totals_2005.csv
21,21,30,358,910,203,455,2,166,82,82,388,163,176,2903,Chucky Atkins,31,181,['POINT GUARD'],atkinch01,73,LOS ANGELES LAKERS,151,totals_2005.csv
22,22,36,36,167,77,0,8,54,55,7,68,57,0,663,Stacey Augmon,45,83,['SMALL FORWARD'],augmost01,23,ORLANDO MAGIC,31,totals_2005.csv
23,23,25,0,0,0,0,0,0,1,0,0,0,0,1,Maurice Baker,0,0,['POINT GUARD'],bakerma01,0,LOS ANGELES CLIPPERS,0,totals_2005.csv
24,24,25,1,1,0,0,0,1,4,0,0,0,0,18,Maurice Baker,1,3,['POINT GUARD'],bakerma01,1,PORTLAND TRAIL BLAZERS,1,totals_2005.csv
25,25,33,9,38,15,1,4,20,24,0,13,7,0,191,Vin Baker,17,31,['POWER FORWARD'],bakervi01,2,NEW YORK KNICKS,15,totals_2005.csv
26,26,33,1,4,2,0,0,2,3,0,0,2,0,13,Vin Baker,0,7,['CENTER'],bakervi01,0,HOUSTON ROCKETS,2,totals_2005.csv
27,27,23,155,286,163,59,13,97,81,2,115,121,21,1145,Marcus Banks,29,146,['POINT GUARD'],banksma01,63,BOSTON CELTICS,79,totals_2005.csv
28,28,22,126,354,69,139,7,98,63,6,168,55,51,1087,Leandro Barbosa,32,127,['POINT GUARD'],barbole01,30,PHOENIX SUNS,87,totals_2005.csv
29,29,24,57,151,58,22,7,84,43,9,62,35,5,715,Matt Barnes,49,80,['SMALL FORWARD'],barnema02,30,SACRAMENTO KINGS,45,totals_2005.csv
30,30,22,42,69,10,37,0,14,27,0,20,7,9,314,Andre Barrett,5,35,['POINT GUARD'],barrean01,14,HOUSTON ROCKETS,16,totals_2005.csv
31,31,22,27,55,9,15,1,15,11,1,25,7,5,169,Andre Barrett,6,16,['POINT GUARD'],barrean01,5,ORLANDO MAGIC,11,totals_2005.csv
32,32,33,178,459,135,280,20,161,81,8,194,113,100,1742,Brent Barry,29,123,['SHOOTING GUARD'],barrybr01,39,SAN ANTONIO SPURS,64,totals_2005.csv
33,33,35,28,77,13,32,2,17,16,0,31,10,11,275,Jon Barry,4,28,['SHOOTING GUARD'],barryjo01,14,ATLANTA HAWKS,14,totals_2005.csv
34,34,35,139,291,58,133,7,116,53,2,130,52,60,1230,Jon Barry,22,67,['SHOOTING GUARD'],barryjo01,46,HOUSTON ROCKETS,53,totals_2005.csv
35,35,28,42,354,94,6,81,343,81,32,163,68,0,1894,Tony Battie,109,244,['CENTER'],battito01,30,ORLANDO MAGIC,81,totals_2005.csv
36,36,26,126,613,228,177,77,255,80,72,271,180,70,2516,Shane Battier,158,201,['SHOOTING GUARD'],battish01,91,MEMPHIS GRIZZLIES,75,totals_2005.csv
37,37,26,0,11,2,0,0,4,4,0,3,0,0,36,Lonny Baxter,4,10,['POWER FORWARD'],baxtelo01,0,NEW ORLEANS HORNETS,4,totals_2005.csv
38,38,28,91,667,150,134,8,153,63,32,303,112,54,1790,Raja Bell,48,205,['SHOOTING GUARD'],bellra01,44,UTAH JAZZ,79,totals_2005.csv
39,39,24,4,40,6,5,2,9,7,0,16,3,1,93,Jonathan Bender,5,9,['SMALL FORWARD'],bendejo01,1,INDIANA PACERS,10,totals_2005.csv
40,40,32,143,452,122,85,9,88,76,6,190,108,26,1461,Travis Best,19,148,['POINT GUARD'],besttr01,66,NEW JERSEY NETS,67,totals_2005.csv
41,41,26,541,1264,413,364,30,255,80,80,560,320,131,3084,Mike Bibby,77,191,['POINT GUARD'],bibbymi01,124,SACRAMENTO KINGS,203,totals_2005.csv
42,42,18,12,78,40,1,24,71,30,1,45,19,0,384,Andris Biedriņš,47,87,['CENTER'],biedran01,12,GOLDEN STATE WARRIORS,12,totals_2005.csv
43,43,28,464,913,382,387,9,223,80,80,404,343,165,2866,Chauncey Billups,48,194,['POINT GUARD'],billuch01,81,DETROIT PISTONS,180,totals_2005.csv
44,44,24,69,186,41,93,0,53,44,1,61,33,36,648,Steve Blake,18,47,['POINT GUARD'],blakest01,13,WASHINGTON WIZARDS,39,totals_2005.csv
45,45,29,129,618,164,1,64,254,82,57,327,117,0,2130,Mark Blount,143,229,['CENTER'],blounma01,33,BOSTON CELTICS,158,totals_2005.csv
46,46,25,0,5,0,2,0,3,2,0,2,0,1,12,Tony Bobbitt,0,1,['SHOOTING GUARD'],bobbito01,0,LOS ANGELES LAKERS,0,totals_2005.csv
47,47,24,135,688,183,173,8,150,74,42,262,133,57,1791,Keith Bogans,76,167,['SHOOTING GUARD'],boganke01,68,CHARLOTTE BOBCATS,122,totals_2005.csv
48,48,24,48,463,71,92,19,177,82,0,247,56,39,1553,Matt Bonner,108,220,['CENTER'],bonnema01,39,TORONTO RAPTORS,40,totals_2005.csv
49,49,28,4,79,16,1,16,42,34,1,34,14,0,262,Calvin Booth,16,55,['CENTER'],boothca01,11,DALLAS MAVERICKS,8,totals_2005.csv
50,50,28,4,29,16,0,12,36,17,0,15,12,0,189,Calvin Booth,13,23,['CENTER'],boothca01,4,MILWAUKEE BUCKS,8,totals_2005.csv
51,51,23,144,693,268,1,24,316,51,51,361,187,0,1772,Carlos Boozer,141,179,['POWER FORWARD'],boozeca01,41,UTAH JAZZ,137,totals_2005.csv
52,52,24,49,172,71,0,32,138,67,23,74,52,0,859,Curtis Borchardt,86,160,['CENTER'],borchcu01,10,UTAH JAZZ,52,totals_2005.csv
53,53,20,153,1005,542,10,113,524,81,81,473,412,3,3017,Chris Bosh,194,226,['POWER FORWARD'],boshch01,76,TORONTO RAPTORS,187,totals_2005.csv
54,54,33,126,598,112,253,39,235,82,82,251,71,102,2627,Bruce Bowen,50,175,['SMALL FORWARD'],bowenbr01,55,SAN ANTONIO SPURS,57,totals_2005.csv
