,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
53,53,35,117,467,73,232,25,200,82,82,189,43,89,2464,Bruce Bowen,23,175,['SMALL FORWARD'],bowenbr01,62,SAN ANTONIO SPURS,65,totals_2007.csv
54,54,30,132,378,131,110,2,40,31,4,156,119,41,877,Earl Boykins,23,31,['POINT GUARD'],boykiea01,25,DENVER NUGGETS,52,totals_2007.csv
55,55,30,159,391,114,129,0,50,35,19,167,101,54,1154,Earl Boykins,26,61,['POINT GUARD'],boykiea01,31,MILWAUKEE BUCKS,68,totals_2007.csv
56,56,23,9,39,6,13,2,20,23,5,11,2,2,199,Cedric Bozeman,3,32,['SHOOTING GUARD'],bozemce01,5,ATLANTA HAWKS,9,totals_2007.csv
57,57,27,235,1211,461,1,179,476,80,80,645,351,1,3077,Elton Brand,268,238,['POWER FORWARD'],brandel01,77,LOS ANGELES CLIPPERS,202,totals_2007.csv
58,58,21,24,193,83,9,6,38,56,14,102,56,0,675,Ronnie Brewer,37,44,['SHOOTING GUARD'],brewero02,37,UTAH JAZZ,24,totals_2007.csv
59,59,27,23,274,68,3,23,104,58,40,122,43,1,838,Primož Brezec,80,161,['CENTER'],brezepr01,11,CHARLOTTE BOBCATS,38,totals_2007.csv
60,60,25,2,74,15,1,4,48,38,0,42,9,0,271,Andre Brown,26,26,['POWER FORWARD'],brownan01,6,SEATTLE SUPERSONICS,29,totals_2007.csv
61,61,22,83,98,37,28,7,32,49,0,32,24,6,450,Dee Brown,8,51,['POINT GUARD'],brownde03,22,UTAH JAZZ,31,totals_2007.csv
62,62,28,149,555,155,227,9,196,58,49,233,123,81,1662,Devin Brown,55,139,['SHOOTING GUARD'],brownde02,44,NEW ORLEANS/OKLAHOMA CITY HORNETS,91,totals_2007.csv
63,63,24,75,242,134,1,49,163,41,28,143,59,0,1132,Kwame Brown,81,124,['CENTER'],brownkw01,39,LOS ANGELES LAKERS,76,totals_2007.csv
64,64,37,48,418,122,2,52,218,72,49,170,96,0,1456,P.J. Brown,129,187,['POWER FORWARD'],brownpj01,24,CHICAGO BULLS,85,totals_2007.csv
65,65,21,10,74,14,25,3,15,23,5,28,10,7,202,Shannon Brown,6,24,['SHOOTING GUARD'],brownsh01,7,CLEVELAND CAVALIERS,14,totals_2007.csv
66,66,28,413,1757,768,398,36,364,77,77,813,667,137,3140,Kobe Bryant,75,205,['SHOOTING GUARD'],bryanko01,111,LOS ANGELES LAKERS,255,totals_2007.csv
67,67,30,70,299,34,103,7,123,76,11,123,27,32,1372,Greg Buckner,35,152,['SHOOTING GUARD'],buckngr01,47,DALLAS MAVERICKS,40,totals_2007.csv
68,68,33,5,65,13,22,2,35,23,0,23,8,6,164,Pat Burke,12,19,['CENTER'],burkepa01,3,PHOENIX SUNS,7,totals_2007.csv
69,69,26,233,975,328,72,17,320,63,63,451,283,18,2474,Caron Butler,147,188,['SMALL FORWARD'],butleca01,134,WASHINGTON WIZARDS,181,totals_2007.csv
70,70,21,5,35,10,0,0,16,11,2,16,9,0,103,Jackie Butler,6,16,['CENTER'],butleja01,2,SAN ANTONIO SPURS,10,totals_2007.csv
71,71,27,63,788,87,363,54,214,81,38,314,56,134,2223,Rasual Butler,42,148,['SMALL FORWARD'],butlera01,40,NEW ORLEANS/OKLAHOMA CITY HORNETS,67,totals_2007.csv
72,72,19,94,443,214,3,128,345,82,53,247,143,0,1793,Andrew Bynum,139,249,['CENTER'],bynuman01,12,LOS ANGELES LAKERS,115,totals_2007.csv
73,73,25,387,505,143,75,5,113,77,11,263,117,25,1614,José Calderón,21,136,['POINT GUARD'],caldejo01,63,TORONTO RAPTORS,110,totals_2007.csv
74,74,32,223,659,221,2,231,652,70,70,312,161,0,2369,Marcus Camby,164,183,['CENTER'],cambyma01,87,DENVER NUGGETS,122,totals_2007.csv
75,75,29,31,85,27,44,1,46,28,1,42,25,18,313,Brian Cardinal,13,42,['POWER FORWARD'],cardibr01,22,MEMPHIS GRIZZLIES,23,totals_2007.csv
76,76,22,26,392,87,72,23,89,67,35,182,53,25,1169,Rodney Carney,39,118,['SMALL FORWARD'],carnero01,38,PHILADELPHIA 76ERS,43,totals_2007.csv
77,77,26,91,658,208,267,9,172,72,47,285,188,111,1878,Matt Carroll,35,176,['SHOOTING GUARD'],carroma01,53,CHARLOTTE BOBCATS,73,totals_2007.csv
