,Unnamed: 0,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,positions,slug,steals,team,turnovers,filename
0,0,26,1,11,2,4,1,2,7,0,4,1,0,20,Alex Acker,0,0,['SHOOTING GUARD'],ackeral01,2,DETROIT PISTONS,0,totals_2009.csv
1,1,26,11,65,8,16,3,14,18,0,26,4,7,179,Alex Acker,8,9,['SHOOTING GUARD'],ackeral01,3,LOS ANGELES CLIPPERS,7,totals_2009.csv
2,2,24,1,13,6,0,1,6,12,0,4,3,0,52,Hassan Adams,1,4,['SHOOTING GUARD'],adamsha01,1,TORONTO RAPTORS,4,totals_2009.csv
3,3,23,44,300,71,107,13,104,74,8,131,58,43,1234,Arron Afflalo,30,144,['SHOOTING GUARD'],afflaar01,28,DETROIT PISTONS,43,totals_2009.csv
4,4,24,3,43,8,6,2,7,20,0,15,4,0,97,Maurice Ager,3,17,['SHOOTING GUARD'],agerma01,1,NEW JERSEY NETS,4,totals_2009.csv
5,5,24,2,6,2,4,0,1,3,0,2,2,2,19,Blake Ahearn,0,3,['POINT GUARD'],ahearbl01,1,SAN ANTONIO SPURS,1,totals_2009.csv
6,6,20,3,69,28,2,6,21,31,4,25,20,0,182,Alexis Ajinça,9,34,['POWER FORWARD'],ajincal01,7,CHARLOTTE BOBCATS,12,totals_2009.csv
7,7,23,157,1243,334,28,77,371,81,81,601,261,7,3004,LaMarcus Aldridge,234,207,['POWER FORWARD'],aldrila01,77,PORTLAND TRAIL BLAZERS,121,totals_2009.csv
8,8,22,42,245,83,46,29,71,59,0,102,58,16,716,Joe Alexander,44,107,['SMALL FORWARD'],alexajo01,15,MILWAUKEE BUCKS,52,totals_2009.csv
9,9,30,35,170,21,1,12,68,49,3,73,10,0,579,Malik Allen,35,89,['POWER FORWARD'],allenma01,7,MILWAUKEE BUCKS,20,totals_2009.csv
10,10,33,218,1040,249,486,13,212,79,79,499,237,199,2876,Ray Allen*,66,157,['SHOOTING GUARD'],allenra02,69,BOSTON CELTICS,134,totals_2009.csv
11,11,27,66,284,109,27,23,82,46,2,137,79,6,887,Tony Allen,22,98,['SHOOTING GUARD'],allento01,54,BOSTON CELTICS,77,totals_2009.csv
12,12,23,7,81,26,17,4,27,25,1,33,21,5,255,Morris Almond,9,31,['SHOOTING GUARD'],almonmo01,4,UTAH JAZZ,16,totals_2009.csv
13,13,32,258,522,109,230,7,119,48,48,193,86,80,1591,Rafer Alston,25,72,['POINT GUARD'],alstora01,57,HOUSTON ROCKETS,88,totals_2009.csv
14,14,32,148,298,99,101,3,75,29,28,123,70,32,856,Rafer Alston,8,63,['POINT GUARD'],alstora01,51,ORLANDO MAGIC,52,totals_2009.csv
15,15,26,28,250,120,1,65,142,76,0,134,53,0,1044,Lou Amundson,128,154,['POWER FORWARD'],amundlo01,32,PHOENIX SUNS,56,totals_2009.csv
16,16,30,31,292,181,10,175,279,71,1,160,130,2,1460,Chris Andersen,163,174,['CENTER'],anderch01,41,DENVER NUGGETS,69,totals_2009.csv
17,17,20,52,407,116,189,20,207,66,30,160,98,69,1312,Ryan Anderson,104,157,['POWER FORWARD'],anderry01,44,NEW JERSEY NETS,63,totals_2009.csv
18,18,24,222,1207,468,170,24,344,66,66,535,371,63,2277,Carmelo Anthony,106,195,['SMALL FORWARD'],anthoca01,75,DENVER NUGGETS,199,totals_2009.csv
19,19,26,27,118,46,0,93,108,65,28,57,30,0,1048,Joel Anthony,89,139,['CENTER'],anthojo01,20,MIAMI HEAT,41,totals_2009.csv
