,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,24,7.3,1.9,-5.1,-1.2,20.7,0.1,0.35200000000000004,23,196,Jeff Adrien,-3.9,13.0,0.1,11.3,['POWER FORWARD'],adrieje01,1.0,GOLDEN STATE WARRIORS,0.0,16.8,0.457,12.6,16.1,-0.2,0.2,0.051,advanced_2011.csv
1,1,25,10.9,1.0,2.1,-0.2,9.9,1.4,0.26,69,2324,Arron Afflalo,2.4,2.3,4.8,13.6,['SHOOTING GUARD'],afflaar01,0.7000000000000001,DENVER NUGGETS,0.396,6.2,0.62,9.2,14.8,2.4,6.2,0.128,advanced_2011.csv
2,2,26,6.0,0.0,-6.3,-3.6,7.9,0.0,0.0,4,29,Maurice Ager,-2.7,0.0,0.0,10.1,['SHOOTING GUARD'],agerma01,1.7000000000000002,MINNESOTA TIMBERWOLVES,0.364,3.8,0.682,26.7,22.0,0.0,0.0,-0.015,advanced_2011.csv
3,3,22,4.3,5.1,-2.1,1.5,18.0,0.1,0.094,10,75,Alexis Ajinça,-3.6,8.1,0.0,12.8,['CENTER'],ajincal01,2.1,DALLAS MAVERICKS,0.21899999999999997,13.3,0.435,2.9,21.4,0.0,0.1,0.084,advanced_2011.csv
4,4,22,4.9,4.0,-3.8,-0.8,22.5,0.2,0.149,24,265,Alexis Ajinça,-2.9,5.2,0.0,12.0,['CENTER'],ajincal01,1.6,TORONTO RAPTORS,0.267,13.6,0.53,13.6,21.1,-0.1,0.2,0.042,advanced_2011.csv
5,5,22,4.6,2.6,-8.2,0.0,14.4,0.0,0.133,12,59,Solomon Alabi,-8.2,13.7,-0.2,2.0,['CENTER'],alabiso01,1.8,TORONTO RAPTORS,0.0,14.1,0.18899999999999997,15.9,14.3,-0.1,-0.2,-0.14200000000000002,advanced_2011.csv
6,6,22,4.0,3.6,-0.8,2.6,17.5,0.2,0.267,18,142,Cole Aldrich,-3.4,11.1,0.0,7.0,['CENTER'],aldrico01,1.8,OKLAHOMA CITY THUNDER,0.0,14.4,0.537,32.3,7.9,0.0,0.2,0.066,advanced_2011.csv
7,7,25,10.1,2.4,2.4,0.5,17.2,3.5,0.314,81,3211,LaMarcus Aldridge,1.9,10.1,7.6,21.5,['POWER FORWARD'],aldrila01,1.4,PORTLAND TRAIL BLAZERS,0.016,13.5,0.5489999999999999,8.7,25.7,3.5,11.1,0.166,advanced_2011.csv
8,8,32,3.3,1.7000000000000002,-3.9,1.4,12.8,0.2,0.065,18,178,Malik Allen,-5.3,8.1,-0.1,3.3,['POWER FORWARD'],allenma01,0.30000000000000004,ORLANDO MAGIC,0.0,10.5,0.361,8.6,9.1,-0.1,0.2,0.046,advanced_2011.csv
9,9,35,12.7,0.4,3.6,0.4,9.0,4.2,0.22399999999999998,80,2890,Ray Allen*,3.2,2.3,5.8,16.4,['SHOOTING GUARD'],allenra02,1.4,BOSTON CELTICS,0.387,5.8,0.615,9.8,19.8,4.1,10.0,0.166,advanced_2011.csv
10,10,29,10.9,2.4,3.6,2.9,9.9,2.7,0.37,72,1494,Tony Allen,0.7000000000000001,5.5,2.0,18.3,['SHOOTING GUARD'],allento01,4.5,MEMPHIS GRIZZLIES,0.047,7.7,0.562,13.1,19.9,2.1,4.7,0.152,advanced_2011.csv
11,11,20,6.4,1.3,-3.0,0.1,15.4,1.4,0.293,81,1452,Al-Farouq Aminu,-3.1,6.1,-0.8,9.6,['SMALL FORWARD'],aminual01,2.1,LOS ANGELES CLIPPERS,0.35200000000000004,10.8,0.499,18.3,17.3,-0.4,0.7000000000000001,0.022000000000000002,advanced_2011.csv
12,12,28,3.5,3.6,-4.9,-0.9,17.4,0.5,0.475,46,691,Lou Amundson,-4.0,13.0,0.2,11.5,['POWER FORWARD'],amundlo01,1.0,GOLDEN STATE WARRIORS,0.0,15.2,0.452,9.8,15.7,-0.5,0.6000000000000001,0.044000000000000004,advanced_2011.csv
13,13,32,4.0,6.0,3.3,3.1,22.1,1.2,0.985,45,732,Chris Andersen,0.2,12.2,1.9,19.0,['CENTER'],anderch01,1.6,DENVER NUGGETS,0.006999999999999999,17.3,0.636,11.3,13.5,1.0,3.2,0.207,advanced_2011.csv
14,14,30,7.3,1.5,-3.3,-1.6,21.1,0.1,0.149,11,150,David Andersen,-1.7000000000000002,6.2,0.1,13.8,['POWER FORWARD'],anderda03,1.0,TORONTO RAPTORS,0.213,13.4,0.5589999999999999,13.8,17.3,0.0,0.2,0.063,advanced_2011.csv
15,15,30,4.5,2.2,-6.6,-1.2,20.9,0.30000000000000004,0.203,29,223,David Andersen,-5.4,6.5,-0.2,8.9,['POWER FORWARD'],anderda03,0.5,NEW ORLEANS HORNETS,0.17600000000000002,13.6,0.484,14.8,20.2,-0.30000000000000004,0.1,0.012,advanced_2011.csv
16,16,21,9.2,1.5,-3.4,-1.5,8.3,0.2,0.222,26,286,James Anderson,-1.9,0.8,0.1,8.5,['SMALL FORWARD'],anderja01,0.5,SAN ANTONIO SPURS,0.5680000000000001,4.7,0.529,12.8,16.4,-0.1,0.30000000000000004,0.051,advanced_2011.csv
17,17,22,6.2,2.1,4.4,0.2,18.1,2.5,0.223,64,1424,Ryan Anderson,4.1,10.8,4.0,19.0,['POWER FORWARD'],anderry01,1.1,ORLANDO MAGIC,0.65,14.5,0.591,7.8,20.4,2.3,6.4,0.21600000000000003,advanced_2011.csv
18,18,26,14.3,1.3,0.2,-0.8,19.3,1.9,0.431,50,1774,Carmelo Anthony,0.9,5.2,2.8,21.2,['SMALL FORWARD'],anthoca01,1.2,DENVER NUGGETS,0.13,12.4,0.547,11.0,32.5,1.0,4.7,0.127,advanced_2011.csv
19,19,26,15.3,1.1,1.2,-2.3,16.5,0.6000000000000001,0.35100000000000003,27,977,Carmelo Anthony,3.5,4.8,2.6,22.8,['SMALL FORWARD'],anthoca01,1.3,NEW YORK KNICKS,0.233,10.6,0.5750000000000001,9.4,31.0,0.8,3.2,0.157,advanced_2011.csv
20,20,28,2.2,5.0,0.9,3.1,12.4,2.1,0.737,75,1463,Joel Anthony,-2.2,9.0,1.2,7.3,['CENTER'],anthojo01,0.4,MIAMI HEAT,0.0,10.8,0.583,21.5,5.3,1.1,3.3,0.107,advanced_2011.csv
21,21,29,27.5,1.3,-0.6000000000000001,-1.7000000000000002,10.4,0.4,0.203,21,726,Gilbert Arenas,1.2,0.9,0.0,14.0,['POINT GUARD'],arenagi01,2.1,WASHINGTON WIZARDS,0.439,5.5,0.505,16.5,26.2,0.30000000000000004,0.4,0.025,advanced_2011.csv
22,22,29,23.8,0.7000000000000001,-2.1,0.8,11.0,1.7000000000000002,0.213,49,1070,Gilbert Arenas,-2.8,1.8,-1.6,8.6,['POINT GUARD'],arenagi01,2.2,ORLANDO MAGIC,0.45,6.5,0.444,19.3,23.7,0.0,0.2,0.006999999999999999,advanced_2011.csv
23,23,25,10.0,1.0,1.1,2.3,16.4,3.8,0.259,75,2600,Trevor Ariza,-1.2,2.8,-0.4,11.3,['SMALL FORWARD'],arizatr01,2.5,NEW ORLEANS HORNETS,0.35600000000000004,9.5,0.48700000000000004,12.2,17.7,2.0,3.4,0.062,advanced_2011.csv
24,24,26,3.5,3.0,-3.4,1.2,21.5,0.4,0.359,41,412,Hilton Armstrong,-4.5,10.4,-0.1,8.6,['CENTER'],armsthi01,1.9,WASHINGTON WIZARDS,0.047,15.8,0.519,25.2,10.6,-0.1,0.4,0.043,advanced_2011.csv
25,25,26,7.8,5.0,-2.0,3.5,22.0,0.1,0.833,12,76,Hilton Armstrong,-5.5,4.8,-0.1,10.1,['CENTER'],armsthi01,2.1,ATLANTA HAWKS,0.083,13.5,0.457,15.5,12.1,0.0,0.1,0.054000000000000006,advanced_2011.csv
26,26,31,15.3,0.1,-3.0,-1.5,7.5,0.9,0.147,49,995,Carlos Arroyo,-1.5,1.6,0.8,9.5,['POINT GUARD'],arroyca01,0.7000000000000001,MIAMI HEAT,0.26899999999999996,4.8,0.541,14.5,13.9,-0.2,1.6,0.078,advanced_2011.csv
27,27,31,18.6,0.0,-3.8,1.3,9.8,0.30000000000000004,0.34299999999999997,15,190,Carlos Arroyo,-5.1,4.8,-0.2,6.7,['POINT GUARD'],arroyca01,2.0,BOSTON CELTICS,0.14300000000000002,7.4,0.447,29.7,14.5,-0.1,0.1,0.016,advanced_2011.csv
28,28,22,5.4,3.2,-1.3,0.30000000000000004,17.0,2.2,0.215,80,1609,Darrell Arthur,-1.6,8.5,1.5,15.7,['POWER FORWARD'],arthuda01,1.7000000000000002,MEMPHIS GRIZZLIES,0.01,12.7,0.534,11.4,21.6,0.30000000000000004,3.8,0.113,advanced_2011.csv
29,29,24,4.7,4.3,-0.5,3.0,22.3,2.2,1.028,82,989,Ömer Aşık,-3.5,13.7,0.5,11.8,['CENTER'],asikom01,1.1,CHICAGO BULLS,0.0,18.1,0.5589999999999999,23.8,12.5,0.4,2.7,0.13,advanced_2011.csv
