,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,25,2.4,2.4,-7.7,-2.3,31.6,0.1,0.75,8,63,Jeff Adrien,-5.4,9.1,0.1,11.2,['POWER FORWARD'],adrieje01,0.0,HOUSTON ROCKETS,0.0,20.3,0.493,8.6,16.8,-0.1,0.1,0.106,advanced_2012.csv
1,1,26,11.1,0.5,0.8,-1.6,8.5,0.6000000000000001,0.353,62,2086,Arron Afflalo,2.5,2.3,4.7,14.7,['SHOOTING GUARD'],afflaar01,0.9,DENVER NUGGETS,0.316,5.5,0.584,9.5,19.1,1.5,5.3,0.121,advanced_2012.csv
2,2,27,5.2,0.0,-16.3,-6.0,7.7,0.0,0.0,4,30,Blake Ahearn,-10.3,0.0,-0.2,-7.3,['POINT GUARD'],ahearbl01,0.0,UTAH JAZZ,0.643,3.8,0.35700000000000004,26.3,28.4,-0.1,-0.2,-0.315,advanced_2012.csv
3,3,23,4.1,6.0,-4.1,1.5,30.4,0.2,0.222,14,122,Solomon Alabi,-5.6,14.6,0.0,14.2,['CENTER'],alabiso01,0.9,TORONTO RAPTORS,0.0,22.6,0.418,11.2,17.2,-0.1,0.2,0.083,advanced_2012.csv
4,4,23,2.7,6.7,0.30000000000000004,2.7,21.6,0.4,0.33299999999999996,26,173,Cole Aldrich,-2.4,9.2,0.30000000000000004,17.7,['CENTER'],aldrico01,2.4,OKLAHOMA CITY THUNDER,0.0,15.8,0.5920000000000001,15.7,14.9,0.1,0.6000000000000001,0.17600000000000002,advanced_2012.csv
5,5,26,13.2,1.7000000000000002,2.4,-0.2,17.5,1.6,0.29100000000000004,55,1994,LaMarcus Aldridge,2.7,8.6,5.4,22.7,['POWER FORWARD'],aldrila01,1.3,PORTLAND TRAIL BLAZERS,0.012,12.9,0.56,9.5,27.0,2.2,7.0,0.16899999999999998,advanced_2012.csv
6,6,22,8.4,2.2,-1.3,1.8,22.2,1.2,0.084,41,624,Lavoy Allen,-3.1,8.3,0.4,12.7,['POWER FORWARD'],allenla01,1.1,PHILADELPHIA 76ERS,0.0,15.2,0.488,10.4,14.5,0.1,1.6,0.124,advanced_2012.csv
7,7,36,11.8,0.4,2.6,0.30000000000000004,9.2,2.2,0.215,46,1565,Ray Allen*,2.4,1.1,2.5,14.8,['SHOOTING GUARD'],allenra02,1.7000000000000002,BOSTON CELTICS,0.475,5.3,0.607,11.2,18.6,1.8,4.7,0.145,advanced_2012.csv
8,8,30,8.3,1.8,2.5,2.5,10.6,2.5,0.391,58,1525,Tony Allen,0.0,7.4,1.7000000000000002,15.7,['SHOOTING GUARD'],allento01,3.6,MEMPHIS GRIZZLIES,0.057999999999999996,8.9,0.541,15.2,18.4,1.7000000000000002,4.2,0.131,advanced_2012.csv
9,9,26,4.4,0.0,-2.0,1.8,11.9,0.1,0.17600000000000002,4,67,Morris Almond,-3.8,1.7000000000000002,-0.1,8.7,['SHOOTING GUARD'],almonmo01,5.4,WASHINGTON WIZARDS,0.17600000000000002,6.7,0.382,5.2,12.9,0.0,0.0,0.032,advanced_2012.csv
10,10,21,7.2,1.9,-1.3,1.6,16.9,1.8,0.312,66,1477,Al-Farouq Aminu,-3.0,7.8,-0.4,10.6,['SMALL FORWARD'],aminual01,2.2,NEW ORLEANS HORNETS,0.129,12.4,0.48100000000000004,18.0,16.2,0.2,1.4,0.044000000000000004,advanced_2012.csv
11,11,29,3.0,4.6,-2.7,1.2,19.0,1.3,0.396,60,753,Lou Amundson,-3.9,14.1,-0.30000000000000004,11.5,['POWER FORWARD'],amundlo01,1.9,INDIANA PACERS,0.0,16.6,0.43799999999999994,15.6,17.3,-0.1,1.0,0.062,advanced_2012.csv
12,12,33,1.8,7.4,1.4,2.6,23.3,0.8,0.759,32,486,Chris Andersen,-1.2,11.9,1.0,18.9,['CENTER'],anderch01,2.0,DENVER NUGGETS,0.0,17.8,0.583,10.6,14.8,0.4,1.9,0.183,advanced_2012.csv
13,13,29,9.5,0.5,-3.4,-2.2,6.5,0.2,0.239,17,461,Alan Anderson,-1.2,2.1,0.1,8.7,['SMALL FORWARD'],anderal01,0.6000000000000001,TORONTO RAPTORS,0.43,4.3,0.519,13.7,18.6,-0.2,0.30000000000000004,0.032,advanced_2012.csv
14,14,22,9.6,0.2,-3.6,-1.4,11.8,0.4,0.299,51,603,James Anderson,-2.2,3.1,0.1,8.8,['SHOOTING GUARD'],anderja01,0.7000000000000001,SAN ANTONIO SPURS,0.391,7.5,0.483,13.2,17.2,-0.2,0.5,0.04,advanced_2012.csv
15,15,23,5.1,1.0,4.6,-1.3,14.7,1.9,0.226,61,1964,Ryan Anderson,5.9,13.0,7.0,21.2,['POWER FORWARD'],anderry01,1.4,ORLANDO MAGIC,0.557,13.8,0.589,6.4,21.2,3.3,8.9,0.21899999999999997,advanced_2012.csv
16,16,27,21.0,1.0,2.9,0.0,15.9,2.6,0.358,55,1876,Carmelo Anthony,2.9,5.4,3.7,21.1,['SMALL FORWARD'],anthoca01,1.7000000000000002,NEW YORK KNICKS,0.198,10.6,0.525,10.8,31.8,2.3,6.2,0.16,advanced_2012.csv
17,17,29,1.0,5.1,0.7000000000000001,2.8,12.8,2.2,0.467,64,1349,Joel Anthony,-2.1,9.2,1.2,10.3,['CENTER'],anthojo01,1.4,MIAMI HEAT,0.0,11.1,0.598,19.7,7.8,0.9,3.4,0.122,advanced_2012.csv
18,18,30,13.4,0.4,-0.9,-0.7000000000000001,9.0,0.30000000000000004,0.156,17,211,Gilbert Arenas,-0.2,1.1,0.1,9.9,['POINT GUARD'],arenagi01,2.8,MEMPHIS GRIZZLIES,0.609,5.0,0.526,14.9,17.3,0.1,0.4,0.08800000000000001,advanced_2012.csv
19,19,26,16.8,1.5,1.8,2.2,15.1,1.7000000000000002,0.253,41,1350,Trevor Ariza,-0.4,3.7,0.5,14.2,['SMALL FORWARD'],arizatr01,2.8,NEW ORLEANS HORNETS,0.21600000000000003,9.5,0.496,14.5,18.4,1.3,2.2,0.078,advanced_2012.csv
20,20,25,4.8,5.0,1.1,4.4,25.1,2.5,0.66,66,971,Ömer Aşık,-3.3,14.9,0.1,13.4,['CENTER'],asikom01,1.7000000000000002,CHICAGO BULLS,0.0,20.1,0.509,25.2,12.6,0.8,2.6,0.129,advanced_2012.csv
21,21,24,38.9,0.1,-3.6,-4.4,7.2,-0.2,0.24600000000000002,48,1408,D.J. Augustin,0.8,1.9,0.7000000000000001,14.1,['POINT GUARD'],augusdj01,1.3,CHARLOTTE BOBCATS,0.368,4.4,0.493,16.9,21.3,-0.6000000000000001,0.5,0.018000000000000002,advanced_2012.csv
22,22,26,11.5,3.5,3.4,3.6,19.3,1.7000000000000002,0.24100000000000002,54,1088,Gustavo Ayón,-0.1,9.6,1.5,16.7,['POWER FORWARD'],ayongu01,2.6,NEW ORLEANS HORNETS,0.004,14.5,0.552,13.7,14.5,1.5,3.2,0.14200000000000002,advanced_2012.csv
23,23,24,6.3,1.5,-3.2,-0.8,22.1,0.2,0.19399999999999998,20,106,Jeff Ayres,-2.3,12.8,0.1,13.4,['CENTER'],pendeje02,1.5,INDIANA PACERS,0.0,17.5,0.435,4.9,17.6,0.0,0.30000000000000004,0.115,advanced_2012.csv
24,24,28,0.0,0.0,-16.0,-3.2,0.0,0.0,0.0,3,18,Kelenna Azubuike,-12.9,0.0,-0.1,-3.4,['SHOOTING GUARD'],azubuke01,2.9,DALLAS MAVERICKS,0.375,0.0,0.43799999999999994,33.3,30.9,-0.1,-0.1,-0.325,advanced_2012.csv
25,25,22,4.8,0.6000000000000001,-3.4,-2.5,17.5,0.30000000000000004,0.11599999999999999,40,537,Luke Babbitt,-0.9,3.4,0.4,11.3,['SMALL FORWARD'],babbilu01,1.0,PORTLAND TRAIL BLAZERS,0.578,10.3,0.556,12.9,17.8,-0.2,0.7000000000000001,0.064,advanced_2012.csv
26,26,27,7.2,2.1,-1.0,0.7000000000000001,20.3,0.2,0.34400000000000003,14,115,Renaldo Balkman,-1.7000000000000002,6.0,0.1,14.3,['SMALL FORWARD'],balkmre01,1.8,NEW YORK KNICKS,0.281,13.1,0.5700000000000001,14.0,16.7,0.0,0.30000000000000004,0.14200000000000002,advanced_2012.csv
27,27,29,13.3,0.6000000000000001,-2.3,-2.2,7.1,0.8,0.2,42,946,Leandro Barbosa,0.0,2.6,0.2,14.2,['SHOOTING GUARD'],barbole01,2.0,TORONTO RAPTORS,0.244,4.9,0.518,12.1,28.0,-0.1,1.0,0.052000000000000005,advanced_2012.csv
28,28,29,13.3,0.0,-1.4,-1.6,9.5,0.5,0.18,22,436,Leandro Barbosa,0.2,3.1,0.2,13.4,['SHOOTING GUARD'],barbole01,2.4,INDIANA PACERS,0.322,6.3,0.496,11.6,23.2,0.1,0.7000000000000001,0.076,advanced_2012.csv
29,29,27,39.0,0.0,-1.3,-2.4,10.8,0.4,0.23399999999999999,41,1032,J.J. Barea,1.1,1.5,0.8,14.9,['POINT GUARD'],bareajo01,1.0,MINNESOTA TIMBERWOLVES,0.342,6.1,0.502,18.3,24.3,0.2,1.2,0.055999999999999994,advanced_2012.csv
30,30,26,11.6,1.2,-0.8,-1.5,16.6,0.9,0.35700000000000004,31,1032,Andrea Bargnani,0.8,2.8,1.3,17.9,['CENTER'],bargnan01,0.9,TORONTO RAPTORS,0.238,9.8,0.5379999999999999,11.0,28.7,0.30000000000000004,2.2,0.104,advanced_2012.csv
31,31,31,13.8,2.4,2.6,1.5,18.3,1.8,0.331,63,1440,Matt Barnes,1.1,7.9,2.4,15.5,['SMALL FORWARD'],barnema02,1.3,LOS ANGELES LAKERS,0.35700000000000004,13.3,0.5539999999999999,14.1,16.4,1.7000000000000002,4.3,0.14200000000000002,advanced_2012.csv
32,32,30,0.0,0.0,-10.3,-8.3,0.0,0.0,0.0,2,9,Earl Barron,-2.0,12.6,0.0,4.7,['CENTER'],barroea01,0.0,GOLDEN STATE WARRIORS,0.0,6.3,0.5,0.0,20.5,0.0,0.0,0.054000000000000006,advanced_2012.csv
33,33,26,5.1,2.2,-1.1,1.1,16.3,3.2,0.258,59,1868,Brandon Bass,-2.1,6.3,1.5,14.1,['POWER FORWARD'],bassbr01,1.0,BOSTON CELTICS,0.0,11.5,0.524,8.5,19.8,0.4,4.7,0.122,advanced_2012.csv
34,34,35,7.6,1.5,-3.9,1.8,22.3,0.5,0.078,27,295,Tony Battie,-5.7,3.0,0.0,7.3,['CENTER'],battito01,0.7000000000000001,PHILADELPHIA 76ERS,0.02,12.6,0.39799999999999996,7.0,9.0,-0.1,0.5,0.076,advanced_2012.csv
35,35,33,8.0,1.8,1.7000000000000002,1.5,7.7,2.1,0.127,65,1499,Shane Battier,0.2,4.6,1.2,9.7,['SMALL FORWARD'],battish01,2.2,MIAMI HEAT,0.627,6.2,0.504,10.7,10.7,1.4,3.3,0.104,advanced_2012.csv
