,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,23,10.1,3.9,4.1,3.7,19.2,0.1,0.5710000000000001,7,61,Quincy Acy,0.5,9.5,0.1,17.2,['SMALL FORWARD'],acyqu01,3.4,TORONTO RAPTORS,0.35700000000000004,14.3,0.542,10.2,14.5,0.1,0.2,0.188,advanced_2014.csv
1,1,23,4.4,2.4,-1.5,1.2,19.5,0.7000000000000001,0.354,56,786,Quincy Acy,-2.8,9.5,0.5,9.6,['SMALL FORWARD'],acyqu01,1.2,SACRAMENTO KINGS,0.079,14.4,0.518,16.0,9.8,0.1,1.3,0.078,advanced_2014.csv
2,2,20,4.9,3.9,0.30000000000000004,2.4,17.1,1.9,0.735,81,1197,Steven Adams,-2.1,14.1,0.9,11.2,['CENTER'],adamsst01,1.7000000000000002,OKLAHOMA CITY THUNDER,0.0,15.6,0.541,22.5,11.7,0.7000000000000001,2.9,0.114,advanced_2014.csv
3,3,27,4.1,4.6,0.4,2.9,24.4,0.5,0.625,25,256,Jeff Adrien,-2.5,14.5,0.4,14.9,['POWER FORWARD'],adrieje01,1.4,CHARLOTTE BOBCATS,0.0,19.4,0.5589999999999999,13.6,10.6,0.2,0.9,0.17,advanced_2014.csv
4,4,27,7.7,2.4,-1.6,-0.7000000000000001,25.0,0.6000000000000001,0.4,28,705,Jeff Adrien,-0.9,10.9,1.2,18.4,['POWER FORWARD'],adrieje01,1.3,MILWAUKEE BUCKS,0.0,17.7,0.552,10.1,19.7,0.1,1.8,0.121,advanced_2014.csv
5,5,28,16.9,0.1,-0.6000000000000001,-2.3,10.2,1.0,0.332,73,2552,Arron Afflalo,1.7000000000000002,1.4,4.3,16.0,['SHOOTING GUARD'],afflaar01,0.7000000000000001,ORLANDO MAGIC,0.297,5.8,0.5740000000000001,11.2,23.3,0.9,5.3,0.099,advanced_2014.csv
6,6,25,6.6,4.1,-0.7000000000000001,0.8,22.7,0.9,0.26899999999999996,56,951,Alexis Ajinça,-1.5,11.3,1.2,14.6,['CENTER'],ajincal01,1.3,NEW ORLEANS PELICANS,0.004,16.9,0.589,18.4,16.3,0.30000000000000004,2.1,0.104,advanced_2014.csv
7,7,25,6.4,8.1,1.2,3.8,33.8,0.6000000000000001,0.49200000000000005,46,330,Cole Aldrich,-2.6,12.8,0.6000000000000001,19.1,['CENTER'],aldrico01,1.3,NEW YORK KNICKS,0.0,23.0,0.62,19.5,13.0,0.30000000000000004,1.2,0.17800000000000002,advanced_2014.csv
8,8,28,13.0,1.9,0.30000000000000004,0.7000000000000001,25.5,3.5,0.253,69,2498,LaMarcus Aldridge,-0.4,7.2,4.0,21.8,['POWER FORWARD'],aldrila01,1.3,PORTLAND TRAIL BLAZERS,0.011000000000000001,16.5,0.507,7.2,29.8,1.5,7.5,0.14400000000000002,advanced_2014.csv
9,9,24,10.2,2.2,-3.2,0.1,20.0,0.7000000000000001,0.15,51,960,Lavoy Allen,-3.3,11.5,0.4,11.9,['POWER FORWARD'],allenla01,1.1,PHILADELPHIA 76ERS,0.049,15.6,0.46399999999999997,12.4,14.3,-0.30000000000000004,1.1,0.053,advanced_2014.csv
