,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,31,11.1,0.0,-5.7,-2.1,9.1,0.0,0.28600000000000003,6,51,Shareef Abdur-Rahim,-3.6,14.2,0.0,5.5,['POWER FORWARD'],abdursh01,1.0,SACRAMENTO KINGS,0.0,11.6,0.317,6.0,14.7,0.0,0.0,-0.005,advanced_2008.csv
1,1,22,8.1,0.7000000000000001,-1.6,0.6000000000000001,12.5,1.4,0.361,75,970,Arron Afflalo,-2.3,4.4,0.5,10.2,['SHOOTING GUARD'],afflaar01,1.8,DETROIT PISTONS,0.19899999999999998,8.4,0.494,10.9,15.2,0.1,1.9,0.092,advanced_2008.csv
2,2,23,7.4,1.0,-13.1,-3.5,4.4,0.0,0.222,12,77,Maurice Ager,-9.6,1.6,-0.30000000000000004,-4.4,['SHOOTING GUARD'],agerma01,0.0,DALLAS MAVERICKS,0.29600000000000004,3.0,0.253,9.2,19.8,-0.2,-0.30000000000000004,-0.18100000000000002,advanced_2008.csv
3,3,23,8.4,0.0,-9.8,-5.4,7.9,0.0,0.158,14,88,Maurice Ager,-4.4,3.9,-0.1,7.1,['SHOOTING GUARD'],agerma01,0.0,NEW JERSEY NETS,0.289,5.9,0.44299999999999995,6.9,22.7,-0.2,-0.1,-0.055999999999999994,advanced_2008.csv
4,4,23,17.2,0.0,-5.6,-2.8,12.4,0.1,0.544,12,177,Blake Ahearn,-2.8,0.7000000000000001,-0.1,9.0,['POINT GUARD'],ahearbl01,1.8,MIAMI HEAT,0.596,6.4,0.495,18.5,23.2,-0.2,0.0,-0.006,advanced_2008.csv
5,5,22,8.8,2.8,0.8,0.7000000000000001,15.8,2.8,0.257,76,2649,LaMarcus Aldridge,0.1,9.8,3.5,18.5,['POWER FORWARD'],aldrila01,1.1,PORTLAND TRAIL BLAZERS,0.006,12.8,0.523,8.9,25.3,1.8,6.2,0.113,advanced_2008.csv
6,6,29,6.8,2.1,-5.1,-0.9,13.1,0.5,0.05,48,763,Malik Allen,-4.3,6.4,-0.2,10.1,['POWER FORWARD'],allenma01,1.0,NEW JERSEY NETS,0.008,9.7,0.489,10.7,17.9,-0.6000000000000001,0.4,0.023,advanced_2008.csv
7,7,29,6.7,2.2,-1.1,1.0,14.8,0.4,0.182,25,333,Malik Allen,-2.2,8.6,0.30000000000000004,9.1,['POWER FORWARD'],allenma01,0.6000000000000001,DALLAS MAVERICKS,0.0,11.8,0.54,15.4,11.8,0.1,0.7000000000000001,0.096,advanced_2008.csv
8,8,32,14.6,0.5,3.1,-0.1,8.3,4.1,0.24,73,2624,Ray Allen*,3.2,3.6,5.6,16.4,['SHOOTING GUARD'],allenra02,1.3,BOSTON CELTICS,0.45799999999999996,6.1,0.584,10.4,21.6,3.4,9.7,0.177,advanced_2008.csv
9,9,26,13.1,1.3,-1.4,1.8,11.0,2.8,0.465,75,1373,Tony Allen,-3.2,3.1,-0.1,10.7,['SHOOTING GUARD'],allento01,2.4,BOSTON CELTICS,0.147,7.3,0.527,18.9,19.6,0.2,2.7,0.09300000000000001,advanced_2008.csv
10,10,26,0.0,0.0,-19.7,-7.1,11.8,0.0,0.5,3,10,Lance Allred,-12.6,0.0,0.0,-1.0,['CENTER'],allrela01,0.0,CLEVELAND CAVALIERS,0.0,5.7,0.307,0.0,22.1,0.0,0.0,-0.125,advanced_2008.csv
11,11,22,10.5,0.0,-11.0,-4.0,6.2,0.0,0.4,9,39,Morris Almond,-6.9,0.0,-0.1,2.0,['SHOOTING GUARD'],almonmo01,1.3,UTAH JAZZ,0.267,3.1,0.368,10.2,22.5,-0.1,-0.1,-0.081,advanced_2008.csv
12,12,31,25.2,0.5,1.0,0.7000000000000001,10.2,4.0,0.14800000000000002,74,2526,Rafer Alston,0.2,1.3,1.0,13.2,['POINT GUARD'],alstora01,2.1,HOUSTON ROCKETS,0.44,5.8,0.49200000000000005,14.0,20.7,1.9,5.0,0.095,advanced_2008.csv
13,13,25,0.0,1.2,-8.8,-4.3,9.4,0.0,0.43799999999999994,16,64,Lou Amundson,-4.5,12.9,0.0,7.4,['POWER FORWARD'],amundlo01,0.8,PHILADELPHIA 76ERS,0.0,11.1,0.472,9.5,14.9,-0.1,0.1,0.043,advanced_2008.csv
14,14,29,0.0,9.2,-9.6,0.8,24.6,0.1,0.5710000000000001,5,34,Chris Andersen,-10.4,6.7,-0.1,6.1,['CENTER'],anderch01,0.0,NEW ORLEANS HORNETS,0.0,15.5,0.342,10.2,13.3,-0.1,0.0,0.012,advanced_2008.csv
15,15,33,17.8,0.2,-3.7,-1.8,12.6,0.30000000000000004,0.304,28,396,Derek Anderson,-1.9,2.6,0.0,10.0,['SHOOTING GUARD'],anderde01,1.6,CHARLOTTE BOBCATS,0.416,7.5,0.49700000000000005,15.0,19.3,-0.2,0.30000000000000004,0.032,advanced_2008.csv
16,16,23,16.1,1.0,1.6,-0.6000000000000001,14.9,3.0,0.39799999999999996,77,2806,Carmelo Anthony,2.2,7.0,5.2,21.1,['SMALL FORWARD'],anthoca01,1.7000000000000002,DENVER NUGGETS,0.111,11.0,0.5680000000000001,12.7,30.2,2.6,8.2,0.14,advanced_2008.csv
17,17,25,0.9,5.0,-3.4,1.4,13.4,0.4,0.8170000000000001,24,498,Joel Anthony,-4.8,9.0,0.1,8.8,['POWER FORWARD'],anthojo01,1.0,MIAMI HEAT,0.0,11.2,0.521,17.2,9.4,-0.2,0.6000000000000001,0.054000000000000006,advanced_2008.csv
18,18,26,27.4,0.2,0.7000000000000001,-1.6,12.8,0.4,0.49,13,425,Gilbert Arenas,2.3,1.6,0.2,18.2,['POINT GUARD'],arenagi01,2.9,WASHINGTON WIZARDS,0.39799999999999996,7.0,0.529,17.1,31.1,0.30000000000000004,0.6000000000000001,0.07,advanced_2008.csv
19,19,22,10.7,1.9,-1.5,1.9,18.3,0.2,0.484,11,115,Trevor Ariza,-3.4,5.2,0.0,12.7,['SMALL FORWARD'],arizatr01,2.2,ORLANDO MAGIC,0.09699999999999999,12.0,0.479,11.7,17.0,0.0,0.2,0.085,advanced_2008.csv
20,20,22,12.0,1.3,2.7,1.8,14.6,0.7000000000000001,0.5710000000000001,24,431,Trevor Ariza,0.9,6.7,0.9,17.1,['SMALL FORWARD'],arizatr01,3.0,LOS ANGELES LAKERS,0.14300000000000002,10.8,0.594,12.0,15.3,0.5,1.6,0.17600000000000002,advanced_2008.csv
21,21,39,20.5,0.30000000000000004,-3.0,-0.4,10.6,0.5,0.273,50,549,Darrell Armstrong,-2.6,3.6,-0.2,8.7,['POINT GUARD'],armstda01,2.7,NEW JERSEY NETS,0.627,7.1,0.499,25.0,13.7,-0.1,0.30000000000000004,0.024,advanced_2008.csv
22,22,23,4.4,3.6,-3.3,1.8,16.0,1.0,0.473,65,732,Hilton Armstrong,-5.1,10.1,-0.5,7.7,['CENTER'],armsthi01,1.1,NEW ORLEANS HORNETS,0.0,13.0,0.498,24.8,15.1,-0.2,0.5,0.032,advanced_2008.csv
23,23,28,26.6,0.1,-2.2,-1.4,9.0,1.1,0.293,62,1269,Carlos Arroyo,-0.8,0.9,1.7000000000000002,12.8,['POINT GUARD'],arroyca01,1.1,ORLANDO MAGIC,0.24100000000000002,5.1,0.547,16.4,17.0,-0.1,2.8,0.107,advanced_2008.csv
24,24,33,18.7,0.2,-4.0,-2.9,8.4,0.2,0.07400000000000001,24,352,Chucky Atkins,-1.1,0.9,0.1,8.9,['SHOOTING GUARD'],atkinch01,1.2,DENVER NUGGETS,0.648,4.8,0.449,7.4,16.4,-0.2,0.30000000000000004,0.04,advanced_2008.csv
25,25,23,2.1,1.0,-2.6,-0.30000000000000004,10.4,0.2,0.235,25,149,James Augustine,-2.2,12.9,0.1,10.8,['POWER FORWARD'],augusja01,1.7000000000000002,ORLANDO MAGIC,0.0,11.6,0.5329999999999999,13.8,13.4,0.0,0.30000000000000004,0.098,advanced_2008.csv
26,26,24,6.1,1.4,-1.5,-1.2,14.0,1.1,0.235,81,1732,Kelenna Azubuike,-0.30000000000000004,6.4,2.3,13.5,['SHOOTING GUARD'],azubuke01,1.3,GOLDEN STATE WARRIORS,0.332,10.0,0.534,8.2,17.2,0.2,3.4,0.094,advanced_2008.csv
27,27,23,6.5,2.4,-0.6000000000000001,1.8,16.4,0.9,0.511,65,952,Renaldo Balkman,-2.4,9.6,0.4,11.5,['SMALL FORWARD'],balkmre01,2.4,NEW YORK KNICKS,0.065,12.9,0.49200000000000005,14.0,12.5,0.30000000000000004,1.3,0.065,advanced_2008.csv
28,28,26,11.3,1.7000000000000002,-2.6,-2.2,5.7,0.2,0.147,24,310,Marcus Banks,-0.4,1.2,0.1,10.1,['POINT GUARD'],banksma01,1.3,PHOENIX SUNS,0.596,3.6,0.539,12.1,19.1,0.0,0.30000000000000004,0.046,advanced_2008.csv
29,29,26,25.5,1.5,-1.5,-2.2,11.3,0.1,0.23199999999999998,12,259,Marcus Banks,0.7000000000000001,0.5,0.4,15.5,['POINT GUARD'],banksma01,1.2,MIAMI HEAT,0.451,5.8,0.631,18.9,20.4,0.0,0.5,0.09300000000000001,advanced_2008.csv
30,30,25,13.5,0.5,0.6000000000000001,-1.8,8.2,1.6,0.209,82,2421,Leandro Barbosa,2.4,2.0,3.9,15.8,['SHOOTING GUARD'],barbole01,1.5,PHOENIX SUNS,0.413,5.4,0.5750000000000001,9.5,22.8,1.6,5.5,0.109,advanced_2008.csv
31,31,23,20.6,0.2,-3.2,-1.8,10.5,0.5,0.206,44,460,J.J. Barea,-1.5,1.0,0.0,11.7,['POINT GUARD'],bareajo01,1.6,DALLAS MAVERICKS,0.318,5.9,0.515,15.9,22.3,-0.1,0.5,0.052000000000000005,advanced_2008.csv
32,32,22,7.4,1.6,-3.0,-1.2,15.2,1.6,0.233,78,1861,Andrea Bargnani,-1.9,3.2,-0.30000000000000004,10.6,['POWER FORWARD'],bargnan01,0.7000000000000001,TORONTO RAPTORS,0.36,9.2,0.495,9.9,22.5,-0.5,1.4,0.036000000000000004,advanced_2008.csv
33,33,27,13.5,1.9,-0.2,0.5,18.1,1.3,0.179,73,1414,Matt Barnes,-0.7000000000000001,6.8,1.0,12.9,['POWER FORWARD'],barnema02,1.6,GOLDEN STATE WARRIORS,0.41,12.3,0.51,15.1,16.7,0.6000000000000001,2.3,0.077,advanced_2008.csv
34,34,25,44.3,0.0,-10.5,-8.4,4.7,0.0,0.4,4,25,Andre Barrett,-2.1,0.0,0.0,12.5,['POINT GUARD'],barrean01,0.0,LOS ANGELES CLIPPERS,0.6000000000000001,2.3,0.51,14.5,12.7,-0.1,0.0,0.078,advanced_2008.csv
35,35,26,5.8,0.7000000000000001,-7.7,-2.2,17.9,0.6000000000000001,0.266,46,889,Earl Barron,-5.5,8.9,-1.0,9.4,['CENTER'],barroea01,1.1,MIAMI HEAT,0.04,13.3,0.446,11.6,22.0,-1.3,-0.4,-0.019,advanced_2008.csv
36,36,36,16.1,0.4,3.6,-0.1,9.0,0.8,0.125,31,554,Brent Barry,3.7,2.6,1.5,16.7,['SMALL FORWARD'],barrybr01,1.7000000000000002,SAN ANTONIO SPURS,0.7000000000000001,5.9,0.655,9.6,16.1,0.8,2.3,0.203,advanced_2008.csv
37,37,22,6.1,2.3,-1.0,0.0,16.3,1.9,0.4,79,1557,Brandon Bass,-1.0,9.2,2.4,15.9,['CENTER'],bassbr01,0.8,DALLAS MAVERICKS,0.008,12.9,0.5640000000000001,12.4,19.8,0.4,4.3,0.132,advanced_2008.csv
38,38,32,4.6,3.2,0.8,0.4,19.7,0.1,0.4,15,103,Maceo Baston,0.4,10.3,0.30000000000000004,17.6,['POWER FORWARD'],bastoma01,1.0,TORONTO RAPTORS,0.0,14.9,0.6970000000000001,12.0,15.3,0.1,0.4,0.201,advanced_2008.csv
39,39,29,8.0,2.3,3.8,3.0,10.5,4.6,0.163,80,2907,Shane Battier,0.8,5.2,3.6,11.7,['SMALL FORWARD'],battish01,1.4,HOUSTON ROCKETS,0.596,7.9,0.561,10.5,11.7,4.3,8.2,0.135,advanced_2008.csv
40,40,21,8.8,0.0,-7.2,-4.3,5.1,0.0,0.09699999999999999,33,241,Marco Belinelli,-2.8,1.3,0.0,8.2,['SHOOTING GUARD'],belinma01,1.0,GOLDEN STATE WARRIORS,0.441,3.1,0.49,11.0,19.1,-0.30000000000000004,0.0,-0.002,advanced_2008.csv
41,41,28,19.9,0.1,-2.7,-2.2,10.3,0.30000000000000004,0.179,68,1628,Charlie Bell,-0.5,2.1,1.0,10.9,['SHOOTING GUARD'],bellch01,1.7000000000000002,MILWAUKEE BUCKS,0.447,6.0,0.49,12.7,16.6,-0.30000000000000004,1.3,0.038,advanced_2008.csv
42,42,31,8.6,0.7000000000000001,1.3,-0.4,9.0,1.5,0.121,75,2646,Raja Bell,1.7000000000000002,2.2,3.0,10.5,['SHOOTING GUARD'],bellra01,1.0,PHOENIX SUNS,0.583,5.9,0.561,7.6,14.5,2.2,4.5,0.08199999999999999,advanced_2008.csv
