,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,22,5.2,3.5,0.7000000000000001,1.3,16.6,0.4,0.507,29,342,Quincy Acy,-0.6000000000000001,10.3,0.7000000000000001,15.9,['POWER FORWARD'],acyqu01,2.0,TORONTO RAPTORS,0.027000000000000003,13.4,0.632,15.6,14.7,0.2,1.1,0.157,advanced_2013.csv
1,1,26,8.3,3.1,-3.3,-0.2,21.2,0.4,0.595,52,713,Jeff Adrien,-3.0,10.6,0.5,13.4,['POWER FORWARD'],adrieje01,1.3,CHARLOTTE BOBCATS,0.012,15.7,0.493,13.1,15.6,-0.2,1.0,0.064,advanced_2013.csv
2,2,27,14.6,0.4,-2.3,-2.0,10.3,0.5,0.24600000000000002,64,2307,Arron Afflalo,-0.30000000000000004,1.4,1.5,13.0,['SMALL FORWARD'],afflaar01,0.9,ORLANDO MAGIC,0.265,5.8,0.527,12.1,22.5,-0.2,2.0,0.042,advanced_2013.csv
3,3,26,19.4,0.0,-0.2,-4.9,12.1,0.0,0.0,3,9,Josh Akognon,4.7,0.0,0.0,15.3,['POINT GUARD'],akognjo01,0.0,DALLAS MAVERICKS,0.5,6.2,0.625,0.0,20.3,0.0,0.0,0.196,advanced_2013.csv
4,4,24,4.1,3.2,-4.8,1.0,23.7,0.30000000000000004,0.209,30,213,Cole Aldrich,-5.7,6.5,-0.1,7.3,['CENTER'],aldrico01,0.7000000000000001,HOUSTON ROCKETS,0.0,15.2,0.532,23.0,12.5,-0.1,0.2,0.038,advanced_2013.csv
5,5,24,2.6,6.3,-3.1,0.5,30.4,0.2,0.297,15,175,Cole Aldrich,-3.6,11.5,0.2,15.7,['CENTER'],aldrico01,0.6000000000000001,SACRAMENTO KINGS,0.0,20.7,0.598,17.7,12.9,-0.1,0.4,0.109,advanced_2013.csv
6,6,27,13.0,2.5,0.8,0.5,20.9,2.3,0.264,74,2790,LaMarcus Aldridge,0.30000000000000004,7.2,4.8,20.4,['POWER FORWARD'],aldrila01,1.2,PORTLAND TRAIL BLAZERS,0.011000000000000001,14.0,0.53,8.9,26.5,2.0,7.2,0.124,advanced_2013.csv
7,7,23,6.7,2.6,-2.6,0.6000000000000001,16.5,1.6,0.132,79,1669,Lavoy Allen,-3.2,10.5,0.9,11.5,['CENTER'],allenla01,0.8,PHILADELPHIA 76ERS,0.002,13.4,0.474,10.3,14.8,-0.30000000000000004,2.5,0.07200000000000001,advanced_2013.csv
8,8,37,10.2,0.6000000000000001,0.2,-1.5,10.1,1.9,0.243,79,2035,Ray Allen*,1.7000000000000002,2.6,3.4,14.7,['SHOOTING GUARD'],allenra02,1.7000000000000002,MIAMI HEAT,0.51,6.6,0.599,12.5,19.3,1.1,5.4,0.126,advanced_2013.csv
9,9,31,7.6,1.7000000000000002,1.3,2.9,13.8,4.1,0.293,79,2109,Tony Allen,-1.6,6.6,1.0,13.2,['SHOOTING GUARD'],allento01,3.1,MEMPHIS GRIZZLIES,0.038,10.2,0.489,11.5,17.8,1.8,5.1,0.115,advanced_2013.csv
10,10,22,7.8,2.1,0.4,2.4,26.2,2.4,0.289,76,2066,Al-Farouq Aminu,-2.0,7.9,0.7000000000000001,13.7,['SMALL FORWARD'],aminual01,2.4,NEW ORLEANS HORNETS,0.04,16.9,0.519,17.8,14.6,1.3,3.1,0.073,advanced_2013.csv
11,11,30,2.8,2.9,-5.9,0.9,17.6,0.2,0.526,20,161,Lou Amundson,-6.9,15.9,-0.4,6.3,['POWER FORWARD'],amundlo01,2.2,MINNESOTA TIMBERWOLVES,0.0,16.7,0.342,19.0,16.1,-0.2,-0.1,-0.038,advanced_2013.csv
12,12,30,0.0,0.0,-21.1,-11.4,0.0,0.0,0.0,1,2,Lou Amundson,-9.7,56.7,0.0,0.0,['POWER FORWARD'],amundlo01,0.0,CHICAGO BULLS,0.0,28.7,0.0,0.0,23.0,0.0,0.0,-0.27399999999999997,advanced_2013.csv
13,13,30,5.8,2.4,-1.1,1.3,19.7,0.2,0.381,18,209,Lou Amundson,-2.4,13.4,0.1,11.7,['POWER FORWARD'],amundlo01,2.3,NEW ORLEANS HORNETS,0.0,16.5,0.449,14.0,12.7,0.0,0.30000000000000004,0.065,advanced_2013.csv
14,14,34,4.0,5.8,1.2,1.8,21.5,1.1,0.7559999999999999,42,624,Chris Andersen,-0.6000000000000001,11.9,1.6,17.4,['CENTER'],anderch01,1.4,MIAMI HEAT,0.024,17.0,0.631,12.8,14.4,0.5,2.7,0.207,advanced_2013.csv
15,15,30,11.7,0.4,-2.0,-2.4,9.2,0.8,0.239,65,1495,Alan Anderson,0.4,2.7,0.8,12.6,['SMALL FORWARD'],anderal01,1.7000000000000002,TORONTO RAPTORS,0.46299999999999997,5.9,0.509,10.5,23.6,0.0,1.6,0.052000000000000005,advanced_2013.csv
16,16,23,13.9,1.5,-0.7000000000000001,0.30000000000000004,12.8,0.1,0.36,10,94,James Anderson,-1.0,3.9,0.1,13.0,['SMALL FORWARD'],anderja01,1.6,SAN ANTONIO SPURS,0.44,8.6,0.5870000000000001,19.5,17.6,0.0,0.2,0.109,advanced_2013.csv
17,17,23,16.4,0.7000000000000001,0.0,-0.1,15.7,0.30000000000000004,0.188,29,307,James Anderson,0.2,5.6,0.4,14.2,['SHOOTING GUARD'],anderja01,2.0,HOUSTON ROCKETS,0.485,10.7,0.526,14.1,18.1,0.2,0.7000000000000001,0.105,advanced_2013.csv
18,18,24,6.9,1.0,1.3,-2.9,15.9,0.8,0.161,81,2503,Ryan Anderson,4.1,8.9,5.7,18.1,['POWER FORWARD'],anderry01,0.9,NEW ORLEANS HORNETS,0.5,12.4,0.5479999999999999,7.5,24.0,2.1,6.5,0.125,advanced_2013.csv
19,19,28,14.1,1.1,2.4,-2.3,15.9,2.0,0.34400000000000003,67,2482,Carmelo Anthony,4.7,6.1,7.5,24.8,['POWER FORWARD'],anthoca01,1.1,NEW YORK KNICKS,0.278,10.8,0.56,9.3,35.6,2.8,9.5,0.184,advanced_2013.csv
20,20,30,3.1,6.1,-0.30000000000000004,2.7,14.4,0.8,0.412,62,566,Joel Anthony,-3.0,10.4,0.4,10.4,['CENTER'],anthojo01,1.2,MIAMI HEAT,0.0,12.5,0.542,21.5,8.6,0.2,1.2,0.1,advanced_2013.csv
21,21,27,12.7,1.1,1.5,1.9,16.9,2.4,0.21100000000000002,56,1471,Trevor Ariza,-0.4,3.3,0.7000000000000001,14.0,['SMALL FORWARD'],arizatr01,2.5,WASHINGTON WIZARDS,0.46299999999999997,10.0,0.5379999999999999,14.6,17.9,1.3,3.1,0.102,advanced_2013.csv
22,22,24,5.9,2.8,-2.4,0.5,12.5,1.5,0.128,59,970,Darrell Arthur,-2.9,8.1,0.2,11.8,['POWER FORWARD'],arthuda01,1.3,MEMPHIS GRIZZLIES,0.05,10.3,0.477,10.2,20.1,-0.1,1.7000000000000002,0.084,advanced_2013.csv
23,23,26,4.6,2.7,-1.3,1.3,31.0,3.5,0.48700000000000004,82,2464,Ömer Aşık,-2.6,12.8,2.0,14.9,['CENTER'],asikom01,0.9,HOUSTON ROCKETS,0.002,22.0,0.5579999999999999,18.8,16.3,0.5,5.5,0.10800000000000001,advanced_2013.csv
24,24,25,21.6,0.2,-1.9,-1.4,6.3,1.5,0.337,76,1226,D.J. Augustin,-0.4,1.9,1.4,11.0,['POINT GUARD'],augusdj01,1.5,INDIANA PACERS,0.6459999999999999,4.1,0.527,16.8,15.1,0.0,2.8,0.11199999999999999,advanced_2013.csv
25,25,27,15.5,1.8,-1.9,1.0,19.8,0.5,0.304,43,571,Gustavo Ayón,-2.9,7.9,0.30000000000000004,11.7,['CENTER'],ayongu01,1.2,ORLANDO MAGIC,0.0,13.8,0.54,21.1,14.3,0.0,0.7000000000000001,0.061,advanced_2013.csv
26,26,27,11.6,1.8,1.3,2.6,26.7,0.30000000000000004,0.28600000000000003,12,163,Gustavo Ayón,-1.3,12.7,0.1,16.6,['CENTER'],ayongu01,2.8,MILWAUKEE BUCKS,0.0,19.4,0.539,16.0,15.0,0.1,0.4,0.132,advanced_2013.csv
27,27,25,7.2,2.4,-2.9,0.6000000000000001,22.2,0.7000000000000001,0.183,37,369,Jeff Ayres,-3.5,8.9,0.30000000000000004,14.5,['POWER FORWARD'],pendeje02,0.9,INDIANA PACERS,0.032,15.7,0.5329999999999999,14.5,19.7,-0.1,1.0,0.129,advanced_2013.csv
28,28,23,6.2,0.5,-3.6,-2.3,19.7,0.4,0.055999999999999994,62,730,Luke Babbitt,-1.2,2.4,0.30000000000000004,9.4,['POWER FORWARD'],babbilu01,1.0,PORTLAND TRAIL BLAZERS,0.7609999999999999,10.9,0.509,8.4,16.4,-0.30000000000000004,0.7000000000000001,0.047,advanced_2013.csv
29,29,30,19.0,0.9,-2.9,-1.8,8.5,0.5,0.212,41,513,Leandro Barbosa,-1.1,1.9,0.4,13.5,['POINT GUARD'],barbole01,1.7000000000000002,BOSTON CELTICS,0.244,5.3,0.509,9.1,21.4,-0.1,0.9,0.08600000000000001,advanced_2013.csv
30,30,28,30.6,0.0,-1.0,-2.1,11.9,1.0,0.177,74,1713,J.J. Barea,1.1,2.2,0.8,14.1,['POINT GUARD'],bareajo01,1.0,MINNESOTA TIMBERWOLVES,0.369,6.9,0.51,15.1,25.1,0.4,1.9,0.053,advanced_2013.csv
31,31,27,6.6,1.8,-4.3,-1.8,12.3,0.6000000000000001,0.18100000000000002,35,1003,Andrea Bargnani,-2.5,3.0,-0.5,11.2,['POWER FORWARD'],bargnan01,1.1,TORONTO RAPTORS,0.289,7.6,0.48200000000000004,10.5,23.8,-0.6000000000000001,0.1,0.006999999999999999,advanced_2013.csv
32,32,20,7.3,0.5,-2.4,-0.30000000000000004,14.5,1.9,0.303,81,2058,Harrison Barnes,-2.1,2.9,0.9,11.0,['SMALL FORWARD'],barneha02,1.3,GOLDEN STATE WARRIORS,0.231,8.9,0.526,12.4,17.7,-0.2,2.8,0.065,advanced_2013.csv
33,33,32,9.2,2.6,3.4,1.1,14.5,2.8,0.173,80,2058,Matt Barnes,2.2,6.5,3.5,15.5,['SMALL FORWARD'],barnema02,2.1,LOS ANGELES CLIPPERS,0.48100000000000004,10.6,0.5660000000000001,11.0,18.1,2.8,6.3,0.146,advanced_2013.csv
34,34,31,3.9,3.2,-6.8,1.6,24.7,0.30000000000000004,0.135,11,122,Earl Barron,-8.4,14.4,-0.30000000000000004,6.9,['CENTER'],barroea01,2.1,WASHINGTON WIZARDS,0.0,19.5,0.35700000000000004,20.3,18.4,-0.1,-0.1,-0.025,advanced_2013.csv
35,35,31,8.7,2.3,-5.9,-0.9,39.3,0.1,0.14300000000000002,1,37,Earl Barron,-5.0,18.4,0.0,15.4,['CENTER'],barroea01,0.0,NEW YORK KNICKS,0.0,28.5,0.37,6.3,20.1,0.0,0.1,0.069,advanced_2013.csv
36,36,22,10.4,0.8,-5.7,-0.9,14.3,0.6000000000000001,0.21,73,894,Will Barton,-4.8,4.6,-1.1,9.1,['SHOOTING GUARD'],bartowi01,2.0,PORTLAND TRAIL BLAZERS,0.21,9.4,0.43700000000000006,15.1,20.4,-0.8,-0.5,-0.027999999999999997,advanced_2013.csv
