,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,25,4.3,0.9,-3.4,-0.9,7.8,0.6000000000000001,0.083,31,588,Álex Abrines,-2.4,0.9,0.1,6.3,['SHOOTING GUARD'],abrinal01,1.3,OKLAHOMA CITY THUNDER,0.809,4.2,0.507,7.9,12.2,-0.2,0.6000000000000001,0.053,advanced_2019.csv
1,1,28,8.2,2.7,-5.9,-0.30000000000000004,20.1,0.0,0.556,10,123,Quincy Acy,-5.7,2.7,-0.1,2.9,['POWER FORWARD'],acyqu01,0.4,PHOENIX SUNS,0.833,11.3,0.379,15.2,9.2,-0.1,-0.1,-0.022000000000000002,advanced_2019.csv
2,2,22,19.8,1.0,-4.4,-1.3,12.3,0.2,0.08199999999999999,34,428,Jaylen Adams,-3.1,2.6,-0.1,7.6,['POINT GUARD'],adamsja01,1.5,ATLANTA HAWKS,0.6729999999999999,7.4,0.474,19.7,13.5,-0.30000000000000004,0.1,0.011000000000000001,advanced_2019.csv
3,3,25,6.6,2.4,2.7,2.1,14.8,4.0,0.361,80,2669,Steven Adams,0.6000000000000001,14.7,5.1,18.5,['CENTER'],adamsst01,2.0,OKLAHOMA CITY THUNDER,0.002,14.7,0.591,12.6,16.4,3.2,9.1,0.163,advanced_2019.csv
4,4,21,14.2,3.0,3.0,3.6,24.0,3.4,0.465,82,1913,Bam Adebayo,-0.6000000000000001,9.2,3.4,17.9,['CENTER'],adebaba01,1.8,MIAMI HEAT,0.031,16.6,0.623,17.1,15.8,2.4,6.8,0.171,advanced_2019.csv
5,5,21,3.4,1.8,-7.3,-2.0,9.6,0.0,0.111,19,194,Deng Adel,-5.3,1.6,-0.2,2.7,['SMALL FORWARD'],adelde01,0.30000000000000004,CLEVELAND CAVALIERS,0.639,5.4,0.424,13.7,9.9,-0.30000000000000004,-0.2,-0.054000000000000006,advanced_2019.csv
6,6,25,37.1,0.0,-3.6,0.8,14.8,0.0,0.2,7,22,DeVaughn Akoon-Purcell,-4.4,4.9,-0.1,8.2,['SHOOTING GUARD'],akoonde01,4.5,DENVER NUGGETS,0.4,9.8,0.322,15.5,25.0,0.0,0.0,-0.051,advanced_2019.csv
7,7,33,11.6,3.4,1.6,0.5,19.8,2.9,0.312,81,2687,LaMarcus Aldridge,1.2,10.3,6.4,22.9,['CENTER'],aldrila01,0.8,SAN ANTONIO SPURS,0.032,15.1,0.5760000000000001,8.8,26.9,2.5,9.3,0.16699999999999998,advanced_2019.csv
8,8,21,15.2,0.0,-6.5,-2.5,13.7,0.0,0.308,10,120,Rawle Alkins,-4.1,9.9,-0.1,8.1,['SHOOTING GUARD'],alkinra01,0.4,CHICAGO BULLS,0.308,11.8,0.418,15.3,19.0,-0.1,-0.1,-0.042,advanced_2019.csv
9,9,23,8.9,1.1,-6.8,-3.1,5.1,0.4,0.337,38,416,Grayson Allen,-3.7,0.8,-0.4,7.5,['SHOOTING GUARD'],allengr01,0.7000000000000001,UTAH JAZZ,0.556,3.0,0.516,13.9,24.4,-0.5,0.0,0.002,advanced_2019.csv
10,10,20,7.9,4.5,2.5,3.2,24.0,3.3,0.489,80,2096,Jarrett Allen,-0.7000000000000001,9.6,4.4,18.5,['CENTER'],allenja01,1.0,BROOKLYN NETS,0.079,16.8,0.632,13.0,15.9,2.4,7.6,0.17500000000000002,advanced_2019.csv
