,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,28,10.7,1.0,0.8,-0.5,16.0,1.5,0.379,54,1867,Shareef Abdur-Rahim,1.4,7.9,3.9,18.7,['POWER FORWARD'],abdursh01,1.4,PORTLAND TRAIL BLAZERS,0.057999999999999996,12.1,0.581,13.0,22.1,1.3,5.4,0.139,advanced_2005.csv
1,1,31,27.7,0.4,-3.4,-0.5,12.6,0.2,0.245,16,201,Cory Alexander,-2.9,4.3,-0.2,8.8,['SHOOTING GUARD'],alexaco01,2.3,CHARLOTTE BOBCATS,0.38799999999999996,8.2,0.451,25.9,16.2,-0.1,0.0,0.002,advanced_2005.csv
2,2,26,7.0,3.3,-1.1,0.6000000000000001,12.7,0.30000000000000004,0.184,14,248,Malik Allen,-1.7000000000000002,11.8,0.30000000000000004,13.6,['POWER FORWARD'],allenma01,0.9,MIAMI HEAT,0.0,12.2,0.505,11.8,17.5,0.1,0.6000000000000001,0.113,advanced_2005.csv
3,3,26,4.6,3.1,-3.4,-1.0,13.8,0.2,0.139,22,271,Malik Allen,-2.4,6.4,0.30000000000000004,14.8,['POWER FORWARD'],allenma01,1.0,CHARLOTTE BOBCATS,0.0,9.9,0.518,6.1,18.7,-0.1,0.5,0.08800000000000001,advanced_2005.csv
4,4,29,18.1,0.1,3.7,-1.9,10.7,1.0,0.28600000000000003,78,3064,Ray Allen*,5.6,3.2,9.7,20.9,['SHOOTING GUARD'],allenra02,1.5,SEATTLE SUPERSONICS,0.37200000000000005,6.9,0.555,9.2,28.0,4.4,10.7,0.168,advanced_2005.csv
5,5,23,8.2,1.4,-0.1,0.6000000000000001,12.3,1.6,0.39299999999999996,77,1262,Tony Allen,-0.7000000000000001,8.0,1.2,14.7,['SHOOTING GUARD'],allento01,3.1,BOSTON CELTICS,0.08,10.2,0.542,14.5,18.9,0.6000000000000001,2.7,0.103,advanced_2005.csv
6,6,28,31.7,0.2,1.5,-1.2,10.1,1.7000000000000002,0.265,80,2717,Rafer Alston,2.6,1.7000000000000002,3.8,16.5,['POINT GUARD'],alstora01,2.2,TORONTO RAPTORS,0.39899999999999997,5.8,0.522,13.5,21.2,2.4,5.5,0.098,advanced_2005.csv
7,7,26,9.1,5.6,1.2,2.4,23.6,1.8,0.531,67,1430,Chris Andersen,-1.1,10.9,2.7,18.5,['CENTER'],anderch01,0.5,NEW ORLEANS HORNETS,0.008,17.0,0.581,12.7,16.4,1.2,4.5,0.152,advanced_2005.csv
8,8,30,18.9,0.2,-2.1,-1.8,9.2,0.6000000000000001,0.223,47,1239,Derek Anderson,-0.30000000000000004,2.4,0.7000000000000001,11.7,['SHOOTING GUARD'],anderde01,1.6,PORTLAND TRAIL BLAZERS,0.386,6.0,0.503,14.0,18.5,0.0,1.3,0.052000000000000005,advanced_2005.csv
9,9,34,21.8,0.0,-4.2,-1.5,10.3,0.30000000000000004,0.195,39,717,Kenny Anderson,-2.7,3.6,0.0,10.4,['POINT GUARD'],anderke01,2.4,ATLANTA HAWKS,0.068,6.7,0.473,18.2,15.8,-0.4,0.2,0.016,advanced_2005.csv
10,10,34,33.4,0.0,-9.4,-2.6,17.9,0.0,0.0,4,26,Kenny Anderson,-6.8,4.8,-0.1,2.9,['POINT GUARD'],anderke01,0.0,LOS ANGELES CLIPPERS,0.0,11.5,0.364,21.4,24.9,0.0,-0.1,-0.125,advanced_2005.csv
11,11,31,0.0,0.0,-10.9,-2.0,0.0,0.0,0.0,1,20,Shandon Anderson,-8.9,5.8,-0.1,-6.5,['SHOOTING GUARD'],andersh01,0.0,NEW YORK KNICKS,0.5,2.9,0.0,33.3,6.8,0.0,-0.1,-0.172,advanced_2005.csv
12,12,31,8.8,0.9,-0.9,1.5,14.6,1.6,0.307,65,1151,Shandon Anderson,-2.3,4.2,0.5,9.2,['SMALL FORWARD'],andersh01,1.8,MIAMI HEAT,0.13,9.6,0.522,16.7,11.9,0.30000000000000004,2.2,0.09,advanced_2005.csv
13,13,20,13.1,0.9,-1.2,-1.3,12.5,2.6,0.466,75,2608,Carmelo Anthony,0.1,6.3,2.3,16.7,['SMALL FORWARD'],anthoca01,1.3,DENVER NUGGETS,0.128,9.4,0.526,13.1,29.2,0.5,4.9,0.09,advanced_2005.csv
