,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,27,12.6,0.7000000000000001,1.0,-1.1,20.3,1.3,0.423,53,1956,Shareef Abdur-Rahim,2.1,8.2,5.3,21.2,['POWER FORWARD'],abdursh01,1.2,ATLANTA HAWKS,0.028999999999999998,14.3,0.5680000000000001,12.3,24.8,1.5,6.6,0.163,advanced_2004.csv
1,1,27,11.5,1.8,-1.4,-0.5,15.5,0.6000000000000001,0.36,32,728,Shareef Abdur-Rahim,-0.9,7.9,0.9,16.5,['POWER FORWARD'],abdursh01,1.8,PORTLAND TRAIL BLAZERS,0.042,11.8,0.522,14.8,23.3,0.1,1.5,0.098,advanced_2004.csv
2,2,25,4.7,3.6,-4.6,0.2,14.7,0.8,0.16699999999999998,45,616,Malik Allen,-4.7,7.9,-0.1,10.5,['POWER FORWARD'],allenma01,1.1,MIAMI HEAT,0.0,11.3,0.449,11.3,18.3,-0.4,0.7000000000000001,0.051,advanced_2004.csv
3,3,28,23.3,0.4,4.0,-1.8,11.8,0.4,0.266,56,2152,Ray Allen*,5.9,3.8,6.5,21.7,['SHOOTING GUARD'],allenra02,1.8,SEATTLE SUPERSONICS,0.37200000000000005,7.8,0.5660000000000001,12.1,27.8,3.3,6.9,0.153,advanced_2004.csv
4,4,27,24.9,0.6000000000000001,1.2,-0.4,9.1,2.8,0.17500000000000002,82,2581,Rafer Alston,1.6,1.2,3.1,13.7,['POINT GUARD'],alstora01,2.4,MIAMI HEAT,0.5680000000000001,5.1,0.509,13.5,17.3,2.1,5.9,0.11,advanced_2004.csv
5,5,25,5.1,7.8,0.5,4.2,23.3,1.9,0.527,71,1029,Chris Andersen,-3.7,9.6,0.5,14.4,['POWER FORWARD'],anderch01,1.7000000000000002,DENVER NUGGETS,0.005,16.3,0.486,16.1,12.7,0.7000000000000001,2.4,0.111,advanced_2004.csv
6,6,29,21.1,0.1,0.30000000000000004,-1.6,10.2,0.9,0.307,51,1810,Derek Anderson,1.9,1.7000000000000002,2.7,15.1,['SHOOTING GUARD'],anderde01,2.0,PORTLAND TRAIL BLAZERS,0.423,6.0,0.499,11.5,20.5,1.1,3.6,0.09699999999999999,advanced_2004.csv
7,7,33,24.2,0.4,-2.6,-0.4,8.2,1.1,0.188,44,905,Kenny Anderson,-2.3,2.5,0.4,11.1,['POINT GUARD'],anderke01,1.6,INDIANA PACERS,0.016,5.3,0.473,15.3,17.1,-0.1,1.5,0.079,advanced_2004.csv
8,8,30,10.2,0.7000000000000001,-1.7000000000000002,-0.1,9.7,1.5,0.28500000000000003,80,1974,Shandon Anderson,-1.6,3.1,0.2,10.1,['SHOOTING GUARD'],andersh01,1.8,NEW YORK KNICKS,0.22699999999999998,6.5,0.5,15.7,17.7,0.1,1.7000000000000002,0.042,advanced_2004.csv
9,9,19,13.8,1.0,0.1,-1.2,12.1,2.4,0.358,82,2995,Carmelo Anthony,1.2,6.8,3.7,17.6,['SMALL FORWARD'],anthoca01,1.7000000000000002,DENVER NUGGETS,0.146,9.4,0.509,12.7,28.5,1.6,6.1,0.098,advanced_2004.csv
