,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,24,9.3,1.0,0.30000000000000004,-0.5,9.9,1.4,0.168,82,2221,Arron Afflalo,0.8,3.1,2.8,10.9,['SHOOTING GUARD'],afflaar01,1.0,DENVER NUGGETS,0.426,6.5,0.5760000000000001,10.5,14.0,1.3,4.3,0.092,advanced_2010.csv
1,1,21,0.0,2.7,-10.4,-2.0,11.8,0.0,0.1,6,30,Alexis Ajinça,-8.5,4.1,-0.1,6.3,['CENTER'],ajincal01,1.8,CHARLOTTE BOBCATS,0.0,8.0,0.479,16.1,19.3,-0.1,0.0,-0.013,advanced_2010.csv
2,2,24,9.9,1.3,1.6,0.6000000000000001,18.6,3.3,0.26,78,2922,LaMarcus Aldridge,0.9,8.1,5.5,18.2,['POWER FORWARD'],aldrila01,1.3,PORTLAND TRAIL BLAZERS,0.013999999999999999,13.3,0.535,7.4,22.9,2.6,8.8,0.145,advanced_2010.csv
3,3,23,9.3,2.6,-3.7,1.5,11.3,0.0,0.5,8,29,Joe Alexander,-5.2,7.8,0.0,2.8,['SMALL FORWARD'],alexajo01,1.8,CHICAGO BULLS,0.16699999999999998,9.6,0.273,0.0,11.3,0.0,0.0,0.03,advanced_2010.csv
4,4,31,5.1,0.8,-5.0,-0.8,11.5,0.30000000000000004,0.11199999999999999,51,456,Malik Allen,-4.2,9.2,-0.30000000000000004,5.9,['POWER FORWARD'],allenma01,1.2,DENVER NUGGETS,0.052000000000000005,10.4,0.431,15.3,14.0,-0.30000000000000004,0.1,0.009000000000000001,advanced_2010.csv
5,5,34,12.3,0.7000000000000001,1.7000000000000002,-0.7000000000000001,8.8,2.9,0.26,80,2819,Ray Allen*,2.3,2.0,5.1,15.2,['SHOOTING GUARD'],allenra02,1.2,BOSTON CELTICS,0.41,5.5,0.601,10.6,20.2,2.6,7.9,0.135,advanced_2010.csv
6,6,28,13.0,1.7000000000000002,0.8,2.6,12.5,1.6,0.47,54,889,Tony Allen,-1.8,7.4,0.2,14.2,['SHOOTING GUARD'],allento01,3.5,BOSTON CELTICS,0.02,10.0,0.54,17.8,19.6,0.6000000000000001,1.9,0.1,advanced_2010.csv
7,7,33,23.1,0.5,-5.0,-1.7000000000000002,10.4,0.4,0.195,27,766,Rafer Alston,-3.3,1.3,-1.2,8.7,['POINT GUARD'],alstora01,1.9,NEW JERSEY NETS,0.314,5.6,0.436,16.9,21.7,-0.6000000000000001,-0.8,-0.051,advanced_2010.csv
8,8,33,16.7,0.6000000000000001,-2.3,0.2,8.9,0.8,0.16,25,655,Rafer Alston,-2.4,0.7000000000000001,-0.4,7.7,['POINT GUARD'],alstora01,1.9,MIAMI HEAT,0.479,4.8,0.456,15.8,15.4,0.0,0.4,0.031,advanced_2010.csv
9,9,27,3.7,4.4,0.4,1.4,19.9,1.3,0.446,79,1168,Lou Amundson,-1.0,13.1,1.5,14.4,['POWER FORWARD'],amundlo01,1.0,PHOENIX SUNS,0.004,16.7,0.562,14.7,14.6,0.7000000000000001,2.9,0.118,advanced_2010.csv
