,Unnamed: 0,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,filename
0,0,24,3.4,0.6000000000000001,-2.2,-1.7000000000000002,8.9,1.0,0.158,75,1134,Álex Abrines,-0.5,2.5,1.3,9.0,['SHOOTING GUARD'],abrinal01,1.7000000000000002,OKLAHOMA CITY THUNDER,0.759,5.6,0.5670000000000001,7.4,12.7,-0.1,2.2,0.094,advanced_2018.csv
1,1,27,6.0,1.6,-2.2,-0.2,17.1,1.1,0.16399999999999998,70,1359,Quincy Acy,-2.0,3.1,-0.1,8.2,['POWER FORWARD'],acyqu01,1.2,BROOKLYN NETS,0.8,10.0,0.525,13.3,14.4,-0.1,1.0,0.036000000000000004,advanced_2018.csv
2,2,24,5.5,2.8,3.3,1.1,13.9,3.0,0.402,76,2487,Steven Adams,2.2,16.6,6.7,20.6,['CENTER'],adamsst01,1.8,OKLAHOMA CITY THUNDER,0.003,15.3,0.63,13.3,16.7,3.3,9.7,0.187,advanced_2018.csv
3,3,20,11.0,2.5,0.2,1.8,21.6,1.9,0.526,69,1368,Bam Adebayo,-1.6,9.7,2.3,15.7,['CENTER'],adebaba01,1.2,MIAMI HEAT,0.021,15.6,0.5700000000000001,13.6,15.9,0.8,4.2,0.14800000000000002,advanced_2018.csv
4,4,32,6.2,1.1,-5.8,-1.8,10.1,0.2,0.16,53,682,Arron Afflalo,-4.1,0.6000000000000001,-0.1,5.8,['SHOOTING GUARD'],afflaar01,0.30000000000000004,ORLANDO MAGIC,0.43200000000000005,5.3,0.516,10.8,12.5,-0.7000000000000001,0.1,0.009000000000000001,advanced_2018.csv
5,5,29,8.2,1.8,-7.0,0.0,28.6,0.1,0.4,21,49,Cole Aldrich,-7.0,7.0,-0.1,6.0,['CENTER'],aldrico01,2.0,MINNESOTA TIMBERWOLVES,0.0,17.6,0.34,5.4,16.8,-0.1,0.0,-0.013,advanced_2018.csv
6,6,32,11.3,3.0,3.3,0.30000000000000004,17.3,3.5,0.29600000000000004,75,2509,LaMarcus Aldridge,3.0,10.8,7.4,25.0,['CENTER'],aldrila01,0.9,SAN ANTONIO SPURS,0.068,14.0,0.5700000000000001,6.8,29.1,3.3,10.9,0.209,advanced_2018.csv
7,7,19,5.4,4.6,0.2,1.4,18.1,1.5,0.37,72,1441,Jarrett Allen,-1.3,10.5,2.7,17.5,['CENTER'],allenja01,0.9,BROOKLYN NETS,0.038,14.3,0.636,15.1,16.3,0.8,4.2,0.141,advanced_2018.csv
8,8,25,15.2,1.6,-6.4,0.30000000000000004,7.1,0.1,0.409,18,107,Kadeem Allen,-6.7,4.1,-0.2,2.6,['POINT GUARD'],allenka01,1.4,BOSTON CELTICS,0.5,5.6,0.366,25.7,14.6,-0.1,-0.1,-0.038,advanced_2018.csv
9,9,36,4.6,0.9,-5.2,-1.3,10.4,0.2,0.231,22,273,Tony Allen,-4.0,8.2,-0.2,8.7,['SMALL FORWARD'],allento01,1.9,NEW ORLEANS PELICANS,0.132,9.3,0.514,15.9,18.9,-0.2,0.1,0.017,advanced_2018.csv
10,10,27,5.8,1.6,1.1,1.9,22.3,3.2,0.13699999999999998,69,2072,Al-Farouq Aminu,-0.8,5.2,0.9,12.0,['POWER FORWARD'],aminual01,1.9,PORTLAND TRAIL BLAZERS,0.5820000000000001,13.8,0.522,11.3,14.8,1.6,4.2,0.09699999999999999,advanced_2018.csv
11,11,24,7.1,1.1,-2.0,-1.5,13.6,0.7000000000000001,0.188,38,519,Justin Anderson,-0.5,5.4,0.6000000000000001,13.0,['SMALL FORWARD'],anderju01,1.4,PHILADELPHIA 76ERS,0.51,9.6,0.54,6.8,19.3,0.0,1.2,0.115,advanced_2018.csv
12,12,24,14.7,2.5,4.1,4.3,17.6,3.8,0.33299999999999996,74,1978,Kyle Anderson,-0.30000000000000004,4.7,2.4,15.9,['SMALL FORWARD'],anderky01,2.9,SAN ANTONIO SPURS,0.13,11.1,0.5820000000000001,15.8,13.5,3.0,6.2,0.151,advanced_2018.csv
